doi,title,publisher,year,abstract,volume,issue,page,issn_array,authors,total_cites,supporting_cites,mentioning_cites,contrasting_cites,num_citing_publications,num_source_practice_guidelines
10.1007/978-3-030-60117-1_33,Human-Centered Explainable AI: Towards a Reflective Sociotechnical Approach,Springer International Publishing,2020,,,,449-466,"['0302-9743', '1611-3349']","[{'given': 'Upol', 'orcid': None, 'family': 'Ehsan', 'affiliation': None}, {'given': 'Mark O.', 'orcid': None, 'family': 'Riedl', 'affiliation': None}]",75,2,73,0,159,0
10.1007/978-3-031-76827-9_9,Human Centered Approaches and Taxonomies for Explainable Artificial Intelligence,Springer Nature Switzerland,2024,,,,144-163,"['0302-9743', '1611-3349']","[{'given': 'Helen', 'orcid': '0000-0001-6894-0996', 'family': 'Sheridan', 'affiliation': None}, {'given': 'Emma', 'orcid': '0000-0001-6738-3067', 'family': 'Murphy', 'affiliation': None}, {'given': 'Dympna', 'orcid': '0000-0003-2841-9738', 'family': 'O’Sullivan', 'affiliation': None}]",0,0,0,0,1,0
10.1007/s00146-020-01004-z,A taxonomy of human–machine collaboration: capturing automation and technical autonomy,Springer Science and Business Media LLC,2020,"Due to the ongoing advancements in technology, socio-technical collaboration has become increasingly prevalent. This poses challenges in terms of governance and accountability, as well as issues in various other fields. Therefore, it is crucial to familiarize decision-makers and researchers with the core of human-machine collaboration. This study introduces a taxonomy that enables identification of the very nature of human-machine interaction. A literature review has revealed that automation and technical autonomy are main parameters for describing and understanding such interaction. Both aspects must be carefully evaluated, as their increase has potentially far-reaching consequences. Hence, these two concepts comprise the taxonomy's axes. Five levels of automation and five levels of technical autonomy are introduced below, based on the assumption that both automation and autonomy are gradual. The levels of automation were developed from existing approaches; those of autonomy were carefully derived from a review of the literature. The taxonomy's use is also explained, as are its limitations and avenues for further research.",36,1,239-250,"['0951-5666', '1435-5655']","[{'given': 'Monika', 'orcid': '0000-0002-2644-8116', 'family': 'Simmler', 'affiliation': None}, {'given': 'Ruth', 'orcid': '0000-0002-8739-2611', 'family': 'Frischknecht', 'affiliation': None}]",23,0,23,0,50,0
10.1007/s00766-022-00393-5,Explainable software systems: from requirements analysis to system evaluation,Springer Science and Business Media LLC,2022,"AbstractThe growing complexity of software systems and the influence of software-supported decisions in our society sparked the need for software that is transparent, accountable, and trustworthy. Explainability has been identified as a means to achieve these qualities. It is recognized as an emerging non-functional requirement (NFR) that has a significant impact on system quality. Accordingly, software engineers need means to assist them in incorporating this NFR into systems. This requires an early analysis of the benefits and possible design issues that arise from interrelationships between different quality aspects. However, explainability is currently under-researched in the domain of requirements engineering, and there is a lack of artifacts that support the requirements engineering process and system design. In this work, we remedy this deficit by proposing four artifacts: a definition of explainability, a conceptual model, a knowledge catalogue, and a reference model for explainable systems. These artifacts should support software and requirements engineers in understanding the definition of explainability and how it interacts with other quality aspects. Besides that, they may be considered a starting point to provide practical value in the refinement of explainability from high-level requirements to concrete design choices, as well as on the identification of methods and metrics for the evaluation of the implemented requirements.",27,4,457-487,"['0947-3602', '1432-010X']","[{'given': 'Larissa', 'orcid': '0000-0001-6093-8875', 'family': 'Chazette', 'affiliation': None}, {'given': 'Wasja', 'orcid': None, 'family': 'Brunotte', 'affiliation': None}, {'given': 'Timo', 'orcid': None, 'family': 'Speith', 'affiliation': None}]",2,0,0,0,19,0
10.1007/s00766-024-00432-3,"How mature is requirements engineering for AI-based systems? A systematic mapping study on practices, challenges, and future research directions",Springer Science and Business Media LLC,2024,"AbstractArtificial intelligence (AI) permeates all fields of life, which resulted in new challenges in requirements engineering for artificial intelligence (RE4AI), e.g., the difficulty in specifying and validating requirements for AI or considering new quality requirements due to emerging ethical implications. It is currently unclear if existing RE methods are sufficient or if new ones are needed to address these challenges. Therefore, our goal is to provide a comprehensive overview of RE4AI to researchers and practitioners. What has been achieved so far, i.e., what practices are available, and what research gaps and challenges still need to be addressed? To achieve this, we conducted a systematic mapping study combining query string search and extensive snowballing. The extracted data was aggregated, and results were synthesized using thematic analysis. Our selection process led to the inclusion of 126 primary studies. Existing RE4AI research focuses mainly on requirements analysis and elicitation, with most practices applied in these areas. Furthermore, we identified requirements specification, explainability, and the gap between machine learning engineers and end-users as the most prevalent challenges, along with a few others. Additionally, we proposed seven potential research directions to address these challenges. Practitioners can use our results to identify and select suitable RE methods for working on their AI-based systems, while researchers can build on the identified gaps and research directions to push the field forward.",29,4,567-600,"['0947-3602', '1432-010X']","[{'given': 'Umm-e-', 'orcid': '0000-0001-8953-9624', 'family': 'Habiba', 'affiliation': None}, {'given': 'Markus', 'orcid': None, 'family': 'Haug', 'affiliation': None}, {'given': 'Justus', 'orcid': None, 'family': 'Bogner', 'affiliation': None}, {'given': 'Stefan', 'orcid': None, 'family': 'Wagner', 'affiliation': None}]",0,0,0,0,0,0
10.1007/s10111-024-00765-7,Understanding the influence of AI autonomy on AI explainability levels in human-AI teams using a mixed methods approach,Springer Science and Business Media LLC,2024,"AbstractAn obstacle to effective teaming between humans and AI is the agent’s ""black box"" design. AI explanations have proven benefits, but few studies have explored the effects that explanations can have in a teaming environment with AI agents operating at heightened levels of autonomy. We conducted two complementary studies, an experiment and participatory design sessions, investigating the effect that varying levels of AI explainability and AI autonomy have on the participants’ perceived trust and competence of an AI teammate to address this research gap. The results of the experiment were counter-intuitive, where the participants actually perceived the lower explainability agent as both more trustworthy and more competent. The participatory design sessions further revealed how a team’s need to know influences when and what teammates need explained from AI teammates. Based on these findings, several design recommendations were developed for the HCI community to guide how AI teammates should share decision information with their human counterparts considering the careful balance between trust and competence in human-AI teams.",26,3,435-455,"['1435-5558', '1435-5566']","[{'given': 'Allyson I.', 'orcid': None, 'family': 'Hauptman', 'affiliation': None}, {'given': 'Beau G.', 'orcid': None, 'family': 'Schelble', 'affiliation': None}, {'given': 'Wen', 'orcid': None, 'family': 'Duan', 'affiliation': None}, {'given': 'Christopher', 'orcid': None, 'family': 'Flathmann', 'affiliation': None}, {'given': 'Nathan J.', 'orcid': None, 'family': 'McNeese', 'affiliation': None}]",0,0,0,0,6,0
10.1007/s10458-019-09408-y,Explainability in human–agent systems,Springer Science and Business Media LLC,2019,,33,6,673-705,"['1387-2532', '1573-7454']","[{'given': 'Avi', 'orcid': None, 'family': 'Rosenfeld', 'affiliation': None}, {'given': 'Ariella', 'orcid': None, 'family': 'Richardson', 'affiliation': None}]",129,2,125,0,192,0
10.1007/s10664-024-10565-2,How do ML practitioners perceive explainability? an interview study of practices and challenges,Springer Science and Business Media LLC,2024,"AbstractExplainable artificial intelligence (XAI) is a field of study that focuses on the development process of AI-based systems while making their decision-making processes understandable and transparent for users. Research already identified explainability as an emerging requirement for AI-based systems that use machine learning (ML) techniques. However, there is a notable absence of studies investigating how ML practitioners perceive the concept of explainability, the challenges they encounter, and the potential trade-offs with other quality attributes. In this study, we want to discover how practitioners define explainability for AI-based systems and what challenges they encounter in making them explainable. Furthermore, we explore how explainability interacts with other quality attributes. To this end, we conducted semi-structured interviews with 14 ML practitioners from 11 companies. Our study reveals diverse viewpoints on explainability and applied practices. Results suggest that the importance of explainability lies in enhancing transparency, refining models, and mitigating bias. Methods like SHapley Additive exPlanations (SHAP) and Local Interpretable Model-Agnostic Explanation (LIME) are frequently used by ML practitioners to understand how models work, while tailored approaches are typically adopted to meet the specific requirements of stakeholders. Moreover, we have discerned emerging challenges in eight categories. Issues such as effective communication with non-technical stakeholders and the absence of standardized approaches are frequently stated as recurring hurdles. We contextualize these findings in terms of requirements engineering and conclude that industry currently lacks a standardized framework to address arising explainability needs.",30,1,,"['1382-3256', '1573-7616']","[{'given': 'Umm-e-', 'orcid': '0000-0001-8953-9624', 'family': 'Habiba', 'affiliation': None}, {'given': 'Mohammad Kasra', 'orcid': '0000-0002-1272-9873', 'family': 'Habib', 'affiliation': None}, {'given': 'Justus', 'orcid': '0000-0001-5788-0991', 'family': 'Bogner', 'affiliation': None}, {'given': 'Jonas', 'orcid': '0000-0002-6121-2731', 'family': 'Fritzsch', 'affiliation': None}, {'given': 'Stefan', 'orcid': '0000-0002-5256-8429', 'family': 'Wagner', 'affiliation': None}]",0,0,0,0,1,0
10.1007/s10676-010-9253-3,Explanation and trust: what to tell the user in security and AI?,Springer Science and Business Media LLC,2010,"
There is a common problem in artificial intelligence (AI) and information security. In AI, an expert system needs to be able to justify and explain a decision to the user. In information security, experts need to be able to explain to the public why a system is secure. In both cases, an important goal of explanation is to acquire or maintain the users' trust. In this paper, I investigate the relation between explanation and trust in the context of computing science. This analysis draws on literature study and concept analysis, using elements from system theory as well as actor-network theory. I apply the conceptual framework to both AI and information security, and show the benefit of the framework for both fields by means of examples. The main focus is on expert systems (AI) and electronic voting systems (security). Finally, I discuss consequences of the analysis for ethics in terms of (un)informed consent and dissent, and the associated division of responsibilities.
",13,1,53-64,"['1388-1957', '1572-8439']","[{'given': 'Wolter', 'orcid': None, 'family': 'Pieters', 'affiliation': None}]",93,4,89,0,141,0
10.1007/s10676-022-09632-3,Explanatory pragmatism: a context-sensitive framework for explainable medical AI,Springer Science and Business Media LLC,2022,"AbstractExplainable artificial intelligence (XAI) is an emerging, multidisciplinary field of research that seeks to develop methods and tools for making AI systems more explainable or interpretable. XAI researchers increasingly recognise explainability as a context-, audience- and purpose-sensitive phenomenon, rather than a single well-defined property that can be directly measured and optimised. However, since there is currently no overarching definition of explainability, this poses a risk of miscommunication between the many different researchers within this multidisciplinary space. This is the problem we seek to address in this paper. We outline a framework, called Explanatory Pragmatism, which we argue has two attractive features. First, it allows us to conceptualise explainability in explicitly context-, audience- and purpose-relative terms, while retaining a unified underlying definition of explainability. Second, it makes visible any normative disagreements that may underpin conflicting claims about explainability regarding the purposes for which explanations are sought. Third, it allows us to distinguish several dimensions of AI explainability. We illustrate this framework by applying it to a case study involving a machine learning model for predicting whether patients suffering disorders of consciousness were likely to recover consciousness.",24,1,,"['1388-1957', '1572-8439']","[{'given': 'Rune', 'orcid': '0000-0002-9880-6912', 'family': 'Nyrup', 'affiliation': None}, {'given': 'Diana', 'orcid': '0000-0001-7468-0123', 'family': 'Robinson', 'affiliation': None}]",18,0,18,0,36,0
