ieee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
XAI for Communication Networks,S. Mukherjee; J. Rupe; J. Zhu,"Next-Gen Systems, CableLabs, Santa Clara, CA; Wired Networking, CableLabs, Louisville, CO; Wired Networking, CableLabs, Louisville, CO",2022 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),26 Dec 2022,2022,,,359,364,"Explainable AI (XAI) is a topic of intense activity in the research community today. However, for AI models deployed in the critical infrastructure of communications networks, explainability alone is not enough to earn the trust of network operations teams comprising human experts with many decades of collective experience. In the present work we discuss some use cases in communications networks and state some of the additional properties, including accountability, that XAI models would have to satisfy before they can be widely deployed. In particular, we advocate for a human-in-the-Ioop approach to train and validate XAI models. Additionally, we discuss the use cases of XAI models around improving data preprocessing and data augmentation techniques, and refining data labeling rules for producing consistently labeled network datasets.",,978-1-6654-7679-9,10.1109/ISSREW55968.2022.00093,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985214,XAI;trust;accountability;communications networks,Wireless communication;Friction;Supervised learning;Refining;Human in the loop;Software reliability;Communication networks,,4,,13,IEEE,26 Dec 2022,,,IEEE,IEEE Conferences
Fault Tolerance Tool for Human and Machine Interaction & Application to Civilian Aircraft,J. Viaña; K. Cohen,"Department of the Aerospace Engineering & Engineering Mechanics, University of Cincinnati, Cincinnati, USA; Department of the Aerospace Engineering & Engineering Mechanics, University of Cincinnati, Cincinnati, USA",2019 IEEE Latin American Conference on Computational Intelligence (LA-CCI),19 Mar 2020,2019,,,1,2,"Enhancing human-machine interaction is critical to aerospace applications. An essential requirement in safety critical systems is the clear need to guarantee trustworthiness of a system as well as V&V (Verification and Validation). However, the current state of the art concerning decision support systems lacks effective tools in this area. The Coherence Function Package, introduced in this research, is a tool towards providing assurance that the action needed has the approval of both the human and the machine in terms of SAFETY. These algorithms shed light on the future of an Explainable Artificial Intelligence (XAI, [1]), that fosters a synergy between these two factors. This vital requirement that has been further underscored after the tragic events of the Boeing 737 Max 8 crashes [2]. Preliminary results show that the proposed approach is not only able to detect any errors in the system, it also assists in circumventing conflicts leading to incoherence and suggests a preferred solution in real-time.",,978-1-7281-5666-8,10.1109/LA-CCI47412.2019.9037045,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9037045,Human-Machine Interaction;Flight Critical Systems;Aircraft Safety;Tautology;Implications;Equivalences;Recursive Functions,Aircraft;Artificial intelligence;Coherence;Tools;Man-machine systems;Software;Aircraft navigation,,,,7,IEEE,19 Mar 2020,,,IEEE,IEEE Conferences
A tool for assessing the text legibility of digital human machine interfaces,R. Lew; R. L. Boring; T. A. Ulrich,"Virtual Technology and Design Department, University of Idaho, Moscow, ID, USA; Virtual Technology and Design Department, University of Idaho, Moscow, ID, USA; Human Factors, Idaho National Laboratory Idaho Falls, Idaho, USA",2015 Resilience Week (RWS),8 Oct 2015,2015,,,1,5,A tool intended to aid qualified professionals in the assessment of the legibility of text presented on a digital display is described. The assessment of legibility is primarily for the purposes of designing and analyzing human machine interfaces in accordance with NUREG-0700 and MIL-STD 1472G. The tool addresses shortcomings of existing guidelines by providing more accurate metrics of text legibility with greater sensitivity to design alternatives.,,978-1-4799-8594-4,10.1109/RWEEK.2015.7287437,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7287437,Human Factors;Text Legibility;Human Machine Interface,Guidelines;Ergonomics;Sociology;Statistics;Workstations;Testing;Standards,,,,8,IEEE,8 Oct 2015,,,IEEE,IEEE Conferences
A Temporal Type-2 Fuzzy System for Time-Dependent Explainable Artificial Intelligence,M. Kiani; J. Andreu-Perez; H. Hagras,"School of Computer and Electronic Engineering, University of Essex, Colchester, U.K.; School of Computer and Electronic Engineering, University of Essex, Colchester, U.K.; School of Computer and Electronic Engineering, University of Essex, Colchester, U.K.",IEEE Transactions on Artificial Intelligence,24 May 2023,2023,4,3,573,586,"Explainable artificial intelligence (XAI) focuses on transparent AI models and decisions, which are easy to understand, analyze, and augment by a nontechnical audience. Fuzzy logic systems (FLS)-based XAI provides an explainable framework while also modeling uncertainties in real-world environments. However, most real-life processes are not characterized by high uncertainty alone; they are also inherently time dependent, i.e., the processes are time variant. In this work, we present a novel temporal type-2 FLS-based approach for time-dependent XAI (TXAI) systems, which can account for the likelihood of a sample occurrence in the time domain by its the frequency. In the proposed temporal type-2 fuzzy sets (TT2FSs), a 4-D time-dependent membership function integrates the universe of discourse, its membership, and its frequency of occurrence across time. The TXAI system manifested better classification prowess in cross-validation tests, with a mean recall of 95.40% than a standard XAI system (based on nontemporal general type-2 fuzzy sets) that had a mean recall of 87.04%. TXAI also performed significantly better than most nonexplainable AI systems, with between 3.95% and 19.04% improvement gain in mean recall. In addition, TXAI can also outline the most likely time-dependent trajectories using the frequency and time dimensions embedded in the TXAI model; viz. given a rule at a determined time interval, what will be the next most likely rule at a subsequent time interval. In this regard, the proposed TXAI system can have profound implications for delineating the evolution of real-life time-dependent processes, such as behavioral or biological processes.",2691-4581,,10.1109/TAI.2022.3210895,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906417,Artificial intelligence;explainable artificial intelligence;fuzzy systems;human computer interaction;human in the loop;time-varying;trusted computing,Fuzzy sets;Artificial intelligence;Uncertainty;Fuzzy logic;Computational modeling;Temperature measurement;Numerical models,,8,,30,IEEE,30 Sep 2022,,,IEEE,IEEE Journals
Explainable AI in Large Language Models: A Review,S. S; R. B. Narenthranath; R. S. B. Krishna,"School of Computing, Sathyabama Institute of Science and Technology, Chennai, India; School of Computing, Sathyabama Institute of Science and Technology, Chennai, India; School of Computing, Sathyabama Institute of Science and Technology, Chennai, India",2024 International Conference on Emerging Research in Computational Science (ICERCS),27 Feb 2025,2024,,,1,6,"Explainable AI in Large Language Models (LLMs) represents an exciting frontier in Artificial Intelligence. In recent times, LLMs provides various AI applications ranging from chatbots to content generation. While these applications are exciting, their decision-making process behind the intelligent systems plays a major role. These processes are also a mystery and they operate as ""Black boxes"", where the processes are often challenging to interpret. This paper helps to give a sense of the processes that occurs behind these decisions. It helps to understand why the AI has chosen one sentence rather than the other. It explores key breakthroughs of XAI techniques that helps in solving these complexities. Methods such as Attention Visualization, Feature Importance Analysis and Counterfactual Explanations provide insights on why certain decisions are made. These techniques provide a voice to the intricate processes and address real-world challenges, which makes it more reliable. This enables better transparency and makes it trust-worthy. XAI has the potential to address ethical concerns, enhance user trust and improve Human-AI collaboration. This research highlights how better transparency in AI is not merely a technical challenge but a foundational step towards building a future where humans and AI work together seamlessly and responsibly.",,979-8-3315-3496-7,10.1109/ICERCS63125.2024.10895578,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10895578,Explainable AI (XAI);Large Language Models (LLMs);AI Transparency;Human-AI Collaboration;Responsible AI,Visualization;Technological innovation;Explainable AI;Scientific computing;Reviews;Large language models;Predictive models;Reliability;Artificial intelligence;Intelligent systems,,,,15,IEEE,27 Feb 2025,,,IEEE,IEEE Conferences
Resource Reservation in Sliced Networks: An Explainable Artificial Intelligence (XAI) Approach,P. Barnard; I. Macaluso; N. Marchetti; L. A. DaSilva,"Connect Research Centre, Trinity College, Dublin, Ireland; Connect Research Centre, Trinity College, Dublin, Ireland; Connect Research Centre, Trinity College, Dublin, Ireland; Commonwealth Cyber Initiative, Virginia Tech, USA",ICC 2022 - IEEE International Conference on Communications,11 Aug 2022,2022,,,1530,1535,"The growing complexity of wireless networks has sparked an upsurge in the use of artificial intelligence (AI) within the telecommunication industry in recent years. In network slicing, a key component of 5G that enables network operators to lease their resources to third-party tenants, AI models may be employed in complex tasks, such as short-term resource reservation (STRR). When AI is used to make complex resource management decisions with financial and service quality implications, it is important that these decisions be understood by a human-in-the-loop. In this paper, we apply state-of-the-art techniques from the field of Explainable AI (XAI) to the problem of STRR. Using real-world data to develop an AI model for STRR, we demonstrate how our XAI methodology can be used to explain the real-time decisions of the model, to reveal trends about the model’s general behaviour, as well as aid in the diagnosis of potential faults during the model’s development. In addition, we quantitatively validate the faithfulness of the explanations across an extensive range of XAI metrics to ensure they remain trustworthy and actionable.",1938-1883,978-1-5386-8347-7,10.1109/ICC45855.2022.9838766,Science Foundation Ireland; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9838766,Explainable Artificial Intelligence (XAI);Network Resource Management (RM),Analytical models;Wireless networks;Market research;Data models;Real-time systems;Communications technology;Resource management,,14,,17,IEEE,11 Aug 2022,,,IEEE,IEEE Conferences
Explainable Artificial Intelligence Model for Predictive Maintenance in Smart Agricultural Facilities,M. Kisten; A. E. -S. Ezugwu; M. O. Olusanya,"Unit for Data Science and Computing, North-West University, Potchefstroom, South Africa; Unit for Data Science and Computing, North-West University, Potchefstroom, South Africa; Department of Computer Science and Information Technology, Sol Plaatje University, Kimberley, South Africa",IEEE Access,16 Feb 2024,2024,12,,24348,24367,"Artificial Intelligence (AI) in Smart Agricultural Facilities (SAF) often lacks explainability, hindering farmers from taking full advantage of their capabilities. This study tackles this gap by introducing a model that combines eXplainable Artificial Intelligence (XAI), with Predictive Maintenance (PdM). The model aims to provide both predictive insights and explanations across four key dimensions, namely data, model, outcome, and end-user. This approach marks a shift in agricultural AI, reshaping how these technologies are understood and applied. The model outperforms related studies, showing quantifiable improvements. Specifically, the Long-Short-Term Memory (LSTM) classifier shows a 5.81% rise in accuracy. The eXtreme Gradient Boosting (XGBoost) classifier exhibits a 7.09% higher F1 score, 10.66% increased accuracy, and a 4.29% increase in Receiver Operating Characteristic-Area Under the Curve (ROC-AUC). These results could lead to more precise maintenance predictions in real-world settings. This study also provides insights into data purity, global and local explanations, and counterfactual scenarios for PdM in SAF. It advances AI by emphasising the importance of explainability beyond traditional accuracy metrics. The results confirm the superiority of the proposed model, marking a significant contribution to PdM in SAF. Moreover, this study promotes the understanding of AI in agriculture, emphasising explainability dimensions. Future research directions are advocated, including multi-modal data integration and implementing Human-in-the-Loop (HITL) systems aimed at improving the effectiveness of AI and addressing ethical concerns such as Fairness, Accountability, and Transparency (FAT) in agricultural AI applications.",2169-3536,,10.1109/ACCESS.2024.3365586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10433503,Agriculture;smart agricultural facilities;predictive maintenance;machine learning;deep learning;explainable artificial intelligence,Artificial intelligence;Explainable AI;Predictive models;Data models;Boosting;Analytical models;Predictive maintenance;Smart agriculture;Deep learning,,11,,70,CCBY,13 Feb 2024,,,IEEE,IEEE Journals
Explainable AI for Healthcare 5.0: Opportunities and Challenges,D. Saraswat; P. Bhattacharya; A. Verma; V. K. Prasad; S. Tanwar; G. Sharma; P. N. Bokoro; R. Sharma,"Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, South Africa; Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, South Africa; Centre for Inter-Disciplinary Research and Innovation, University of Petroleum and Energy Studies, Dehradun, India",IEEE Access,17 Aug 2022,2022,10,,84486,84517,"In the healthcare domain, a transformative shift is envisioned towards Healthcare 5.0. It expands the operational boundaries of Healthcare 4.0 and leverages patient-centric digital wellness. Healthcare 5.0 focuses on real-time patient monitoring, ambient control and wellness, and privacy compliance through assisted technologies like artificial intelligence (AI), Internet-of-Things (IoT), big data, and assisted networking channels. However, healthcare operational procedures, verifiability of prediction models, resilience, and lack of ethical and regulatory frameworks are potential hindrances to the realization of Healthcare 5.0. Recently, explainable AI (EXAI) has been a disruptive trend in AI that focuses on the explainability of traditional AI models by leveraging the decision-making of the models and prediction outputs. The explainability factor opens new opportunities to the black-box models and brings confidence in healthcare stakeholders to interpret the machine learning (ML) and deep learning (DL) models. EXAI is focused on improving clinical health practices and brings transparency to the predictive analysis, which is crucial in the healthcare domain. Recent surveys on EXAI in healthcare have not significantly focused on the data analysis and interpretation of models, which lowers its practical deployment opportunities. Owing to the gap, the proposed survey explicitly details the requirements of EXAI in Healthcare 5.0, the operational and data collection process. Based on the review method and presented research questions, systematically, the article unfolds a proposed architecture that presents an EXAI ensemble on the computerized tomography (CT) image classification and segmentation process. A solution taxonomy of EXAI in Healthcare 5.0 is proposed, and operational challenges are presented. A supported case study on electrocardiogram (ECG) monitoring is presented that preserves the privacy of local models via federated learning (FL) and EXAI for metric validation. The case-study is supported through experimental validation. The analysis proves the efficacy of EXAI in health setups that envisions real-life model deployments in a wide range of clinical applications.",2169-3536,,10.1109/ACCESS.2022.3197671,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9852458,Explainable AI;healthcare 50;metrics;deep learning,Medical services;Artificial intelligence;Predictive models;Analytical models;Prediction algorithms;Medical diagnostic imaging;Deep learning,,176,,150,CCBY,8 Aug 2022,,,IEEE,IEEE Journals
Evaluation of Icons to Support Safety Risk Monitoring of Autonomous Small Unmanned Aircraft Systems,M. Friedrich; D. Richards; J. -P. Huttner,"German Aerospace Center, Braunschweig, Germany; Thales UK, Reading, United Kingdom; German Aerospace Center, Braunschweig, Germany",2024 IEEE 4th International Conference on Human-Machine Systems (ICHMS),19 Jun 2024,2024,,,1,6,"The integration of small Unmanned Aircraft Systems (sUAS) into low-altitude urban airspace is gaining momentum. Safety challenges arise, necessitating automated (and in some cases autonomous) technical solutions. In order for the operator to monitor and engage with the sUAS an effective human-machine interface (HMI) is a vital component. Equally, the manner in how information is presented on this HMI requires careful consideration – more so when the operator may very well have more than one aerial platform under their control and/or supervision. This study explores the role of icon design for autonomous sUAS supervisory control to contribute to the growing body of research on explainable artificial intelligence. Altogether, 14 icons are proposed as representations of safety-critical functions related to autonomous sUAS operation in low-altitude urban airspace. In an online questionnaire study, 46 participants with experience in operating sUAS rated the icons on established icon-function fit metrics. The analysis of agreement scores indicates that the icons related to battery health, geofence conformance, and meteorological constraints were well-recognized, while those representing casualty risk, positional accuracy, airspace conformance, and sensor health performed poorly. These findings emphasize the importance of concreteness, familiarity, and semantic distance in icon design, where higher values positively influence icon recognition and thus icon-function fit. The integration of empirically derived icon design principles is proposed to enhance transparency in safety-critical autonomous systems. This study underscores the significance of targeted usage of unambiguous icons to facilitate deeper user understanding through making system-side decision-making processes transparent to the user, enabling more effective interaction between humans and autonomous systems.",,979-8-3503-1579-0,10.1109/ICHMS59971.2024.10555752,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555752,human machine interface;icon design;unmanned aircraft systems;autonomous systems,Measurement;Autonomous systems;Human-machine systems;Semantics;Decision making;Supervisory control;Safety,,,,24,IEEE,19 Jun 2024,,,IEEE,IEEE Conferences
A Principal Component Analysis-Based Approach for Single Morphing Attack Detection,L. Dargaud; M. Ibsen; J. Tapia; C. Busch,"Technical University of Denmark (DTU), Kongens Lyngby, Denmark; Hochschule Darmstadt (hda), Germany; Hochschule Darmstadt (hda), Germany; Hochschule Darmstadt (hda), Germany",2023 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),7 Feb 2023,2023,,,683,692,"This paper proposes an explicit method for single face image morphing attack detection, using an RGB decomposition based on Principal Component Analysis from texture patterns. Handcrafted detection algorithms can be advantageous over deep learning-based methods as they constitute increased explainability, showcased in this work by visualizing relevant face areas for morphing attack detection. Such information can be relevant for deployed systems in real-world scenarios with humans in the loop. The morphing detection capability of the proposed method is evaluated extensively across three datasets and six morphing algorithms in single, cross-dataset and cross-morphed scenarios and compared to a fine-tuned MobileNetV2 architecture. The results show how single image morphing attack detection remains challenging, especially in cross-domain scenarios involving realistic diversity of morphing algorithms, including StyleGAN-based approaches. In such conditions, the proposed method can be as good or even better than the evaluated MobileNetV2 approach.",2690-621X,979-8-3503-2056-5,10.1109/WACVW58289.2023.00075,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10031166,,Training;Learning systems;Visualization;Image color analysis;Feature extraction;Human in the loop;Detection algorithms,,6,,34,IEEE,7 Feb 2023,,,IEEE,IEEE Conferences
