Publication Type,Article Number,Document Type,Article Title,Foreign Title,Authors,Corporate Authors,Source Title,Volume,Issue,Pages,Publication Year,Publication Date,Language,180 Day Usage Count,Since 2013 Usage Count,Abstract,Other Abstract,Addresses,ResearcherID,ORCID Identifier,MeSH Heading,Citation Subsets,Keyword List,Molecular Sequence Data,Gene Symbol,Chemical,Personal Name Subject,Space Flight Mission,Research Areas,ISSN,NLM Unique ID,Country,Grant Information,Record Owner,Status,Investigations,Number of References,Dates,Notes,Published Electronically,General Notes,DOI,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,Accession Number
J,33981990,Journal Article; Review,Human- versus Artificial Intelligence.,,"Korteling, J E Hans; van de Boer-Visschedijk, G C; Blankendaal, R A M; Boonekamp, R C; Eikelboom, A R",,Frontiers in artificial intelligence,4,,622364,2021,2021,English,272,1950,"Copyright © 2021 Korteling, van de Boer-Visschedijk, Blankendaal, Boonekamp and Eikelboom.AI is one of the most debated subjects of today and there seems little common understanding concerning the differences and similarities of human intelligence and artificial intelligence. Discussions on many relevant topics, such as trustworthiness, explainability, and ethics are characterized by implicit anthropocentric and anthropomorphistic conceptions and, for instance, the pursuit of human-like intelligence as the golden standard for Artificial Intelligence. In order to provide more agreement and to substantiate possible future research objectives, this paper presents three notions on the similarities and differences between human- and artificial intelligence: 1) the fundamental constraints of human (and artificial) intelligence, 2) human intelligence as one of many possible forms of general intelligence, and 3) the high potential impact of multiple (integrated) forms of narrow-hybrid AI applications. For the time being, AI systems will have fundamentally different cognitive qualities and abilities than biological systems. For this reason, a most prominent issue is how we can use (and collaborate with) these systems as effectively as possible? For what tasks and under what conditions, decisions are safe to leave to AI and when is human judgment required? How can we capitalize on the specific strengths of human- and artificial intelligence? How to deploy AI systems effectively to complement and compensate for the inherent constraints of human cognition (and vice versa)? Should we pursue the development of AI partners with human (-level) intelligence or should we focus more at supplementing human limitations? In order to answer these questions, humans working with AI systems in the workplace or in policy making have to develop an adequate mental model of the underlying 'psychological' mechanisms of AI. So, in order to obtain well-functioning human-AI systems, Intelligence Awareness in humans should be addressed more vigorously. For this purpose a first framework for educational content is proposed.",,"TNO Human Factors, Soesterberg, Netherlands.",,"Duque, Jorge/0000-0003-4939-6176",,,artificial general intelligence; artificial intelligence; cognitive bias; cognitive complexity; human intelligence; human-AI collaboration; human-level artificial intelligence; narrow artificial intelligence,,,,,,,2624-8212,101770551,Switzerland,,,PubMed-not-MEDLINE,,,/ 02 Apr 2024,,25 Mar 2021,,10.3389/frai.2021.622364,"gold, Green Published",,,2025-05-29,MEDLINE:33981990
J,37375838,Journal Article; Review,"The Role of AI in Drug Discovery: Challenges, Opportunities, and Strategies.",,"Blanco-Gonzalez, Alexandre; Cabezon, Alfonso; Seco-Gonzalez, Alejandro; Conde-Torres, Daniel; Antelo-Riveiro, Paula; Pineiro, Angel; Garcia-Fandino, Rebeca",,"Pharmaceuticals (Basel, Switzerland)",16,6,,2023,2023 Jun 18,English,69,286,"Artificial intelligence (AI) has the potential to revolutionize the drug discovery process, offering improved efficiency, accuracy, and speed. However, the successful application of AI is dependent on the availability of high-quality data, the addressing of ethical concerns, and the recognition of the limitations of AI-based approaches. In this article, the benefits, challenges, and drawbacks of AI in this field are reviewed, and possible strategies and approaches for overcoming the present obstacles are proposed. The use of data augmentation, explainable AI, and the integration of AI with traditional experimental methods, as well as the potential advantages of AI in pharmaceutical research, are also discussed. Overall, this review highlights the potential of AI in drug discovery and provides insights into the challenges and opportunities for realizing its potential in this field. Note from the human authors: This article was created to test the ability of ChatGPT, a chatbot based on the GPT-3.5 language model, in terms of assisting human authors in writing review articles. The text generated by the AI following our instructions (see Supporting Information) was used as a starting point, and its ability to automatically generate content was evaluated. After conducting a thorough review, the human authors practically rewrote the manuscript, striving to maintain a balance between the original proposal and the scientific criteria. The advantages and limitations of using AI for this purpose are discussed in the last section.",,"Department of Organic Chemistry, Center for Research in Biological Chemistry and Molecular Materials, University of Santiago de Compostela, CIQUS, 15705 Santiago de Compostela, Spain.; Soft Matter & Molecular Biophysics Group, Department of Applied Physics, Faculty of Physics, University of Santiago de Compostela, 15705 Santiago de Compostela, Spain.; MD.USE Innovations S.L., Edificio Emprendia, 15782 Santiago de Compostela, Spain.","Blanco-Gonzalez, Alexandre/JHU-4041-2023; Fandino, Rebeca/M-1880-2014; Pineiro, Angel/C-1098-2009","Pineiro, Angel/0000-0001-9350-8468; SECO GONZALEZ, ALEJANDRO/0009-0002-8344-7010; Conde Torres, Daniel/0000-0002-5806-9655; Blanco-Gonzalez, Alexandre/0000-0001-8593-5881; Antelo-Riveiro, Paula/0009-0005-4675-032X; Cabezon Vizoso, Alfonso/0000-0003-2777-3217",,,AI-assisted content generation; AI-limitations; artificial intelligence; drug discovery,,,,,,,1424-8247,101238453,Switzerland,"RTI2018-098795-A-I00, PID2019-111327GB-I00 and PDC2022-133402-I00 / Agencia Estatal de Investigacion (Spain). ED431F 2020/05, ED431B 2022/36, and Centro singular de investigacion de Galicia accreditation 2016-2019, ED431G/09 / Xunta de GaliciaXunta de Galicia",,PubMed-not-MEDLINE,,,/ 01 Jul 2023,,18 Jun 2023,,10.3390/ph16060891,"Green Published, Green Submitted, gold",,,2025-05-29,MEDLINE:37375838
J,33915362,Journal Article,Interpretable heartbeat classification using local model-agnostic explanations on ECGs.,,"Neves, Ines; Folgado, Duarte; Santos, Sara; Barandas, Marilia; Campagner, Andrea; Ronzio, Luca; Cabitza, Federico; Gamboa, Hugo",,Computers in biology and medicine,133,,104393,2021,2021 06 (Epub 2021 Apr 16),English,4,68,"Copyright © 2021 Elsevier Ltd. All rights reserved.Treatment and prevention of cardiovascular diseases often rely on Electrocardiogram (ECG) interpretation. Dependent on the physician's variability, ECG interpretation is subjective and prone to errors. Machine learning models are often developed and used to support doctors; however, their lack of interpretability stands as one of the main drawbacks of their widespread operation. This paper focuses on an Explainable Artificial Intelligence (XAI) solution to make heartbeat classification more explainable using several state-of-the-art model-agnostic methods. We introduce a high-level conceptual framework for explainable time series and propose an original method that adds temporal dependency between time samples using the time series' derivative. The results were validated in the MIT-BIH arrhythmia dataset: we performed a performance's analysis to evaluate whether the explanations fit the model's behaviour; and employed the 1-D Jaccard's index to compare the subsequences extracted from an interpretable model and the XAI methods used. Our results show that the use of the raw signal and its derivative includes temporal dependency between samples to promote classification explanation. A small but informative user study concludes this study to evaluate the potential of the visual explanations produced by our original method for being adopted in real-world clinical settings, either as diagnostic aids or training resource.",,"Associacao Fraunhofer Portugal Research, Rua Alfredo Allen 455/461, 4200-135, Porto, Portugal.; Associacao Fraunhofer Portugal Research, Rua Alfredo Allen 455/461, 4200-135, Porto, Portugal; Laboratorio de Instrumentacao, Engenharia Biomedica e Fisica da Radiacao (LIBPhys-UNL), Departamento de Fisica, Faculdade de Ciencias e Tecnologia, FCT, Universidade Nova de Lisboa, 2829-516, Caparica, Portugal. Electronic address: duarte.folgado@fraunhofer.pt.; Associacao Fraunhofer Portugal Research, Rua Alfredo Allen 455/461, 4200-135, Porto, Portugal; Laboratorio de Instrumentacao, Engenharia Biomedica e Fisica da Radiacao (LIBPhys-UNL), Departamento de Fisica, Faculdade de Ciencias e Tecnologia, FCT, Universidade Nova de Lisboa, 2829-516, Caparica, Portugal.; Dipartimento di Informatica, Sistemistica e Comunicazione, Universita degli Studi di Milano-Bicocca, Viale Sarca 336 - 20126, Milano, Italy.","Folgado, Duarte/AAO-6304-2021; Barandas, Marilia/J-3482-2019; Campagner, Andrea/AAB-4238-2020; Cabitza, Federico/JCO-4001-2023; Gamboa, Hugo/M-8799-2013; Cabitza, Federico/L-2263-2013","Barandas, Marilia/0000-0002-9445-4809; Santos, Sara/0000-0002-2554-3648; Gamboa, Hugo/0000-0002-4022-7424; Folgado, Duarte/0000-0002-8481-6079; Cabitza, Federico/0000-0002-4065-3415; CAMPAGNER, ANDREA/0000-0002-0027-5157","Arrhythmias, Cardiac / diagnosis. *Artificial Intelligence. *Electrocardiography. Heart Rate. Humans. Machine Learning",Index Medicus,Electrocardiogram; Explainable artificial intelligence; Heartbeat classification; Human-AI interfaces; Machine learning; Model-agnostic method; Time series; Usability; Visual explanations,,,,,,Cardiovascular System & Cardiology; Computer Science (provided by Clarivate Analytics),1879-0534,1250250,United States,,,MEDLINE,,,/ 25 Jun 2021 / 25 Jun 2021,,16 Apr 2021,,10.1016/j.compbiomed.2021.104393,Green Submitted,,,2025-05-29,MEDLINE:33915362
J,33733193,Journal Article; Review,The Next Generation of Medical Decision Support: A Roadmap Toward Transparent Expert Companions.,,"Bruckert, Sebastian; Finzel, Bettina; Schmid, Ute",,Frontiers in artificial intelligence,3,,507973,2020,2020,English,1,13,"Copyright © 2020 Bruckert, Finzel and Schmid.Increasing quality and performance of artificial intelligence (AI) in general and machine learning (ML) in particular is followed by a wider use of these approaches in everyday life. As part of this development, ML classifiers have also gained more importance for diagnosing diseases within biomedical engineering and medical sciences. However, many of those ubiquitous high-performing ML algorithms reveal a black-box-nature, leading to opaque and incomprehensible systems that complicate human interpretations of single predictions or the whole prediction process. This puts up a serious challenge on human decision makers to develop trust, which is much needed in life-changing decision tasks. This paper is designed to answer the question how expert companion systems for decision support can be designed to be interpretable and therefore transparent and comprehensible for humans. On the other hand, an approach for interactive ML as well as human-in-the-loop-learning is demonstrated in order to integrate human expert knowledge into ML models so that humans and machines act as companions within a critical decision task. We especially address the problem of Semantic Alignment between ML classifiers and its human users as a prerequisite for semantically relevant and useful explanations as well as interactions. Our roadmap paper presents and discusses an interdisciplinary yet integrated Comprehensible Artificial Intelligence (cAI)-transition-framework with regard to the task of medical diagnosis. We explain and integrate relevant concepts and research areas to provide the reader with a hands-on-cookbook for achieving the transition from opaque black-box models to interactive, transparent, comprehensible and trustworthy systems. To make our approach tangible, we present suitable state of the art methods with regard to the medical domain and include a realization concept of our framework. The emphasis is on the concept of Mutual Explanations (ME) that we introduce as a dialog-based, incremental process in order to provide human ML users with trust, but also with stronger participation within the learning process.",,"Cognitive Systems, University of Bamberg, Bamberg, Germany.",,"Finzel, Bettina/0000-0002-9415-6254; Schmid, Ute/0000-0002-1301-0326; Kiefer, Sebastian/0000-0002-1194-917X",,,companion; explainable artificial intelligence; interactive ML; interpretability; medical decision support; medical diagnosis; trust,,,,,,,2624-8212,101770551,Switzerland,,,PubMed-not-MEDLINE,,,/ 20 Mar 2021,,24 Sep 2020,,10.3389/frai.2020.507973,"Green Published, gold",,,2025-05-29,MEDLINE:33733193
J,35857532,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",In situ bidirectional human-robot value alignment.,,"Yuan, Luyao; Gao, Xiaofeng; Zheng, Zilong; Edmonds, Mark; Wu, Ying Nian; Rossano, Federico; Lu, Hongjing; Zhu, Yixin; Zhu, Song-Chun",,Science robotics,7,68,eabm4183,2022,2022 07 13 (Epub 2022 Jul 13),English,14,135,"A prerequisite for social coordination is bidirectional communication between teammates, each playing two roles simultaneously: as receptive listeners and expressive speakers. For robots working with humans in complex situations with multiple goals that differ in importance, failure to fulfill the expectation of either role could undermine group performance due to misalignment of values between humans and robots. Specifically, a robot needs to serve as an effective listener to infer human users' intents from instructions and feedback and as an expressive speaker to explain its decision processes to users. Here, we investigate how to foster effective bidirectional human-robot communications in the context of value alignment-collaborative robots and users form an aligned understanding of the importance of possible task goals. We propose an explainable artificial intelligence (XAI) system in which a group of robots predicts users' values by taking in situ feedback into consideration while communicating their decision processes to users through explanations. To learn from human feedback, our XAI system integrates a cooperative communication model for inferring human values associated with multiple desirable goals. To be interpretable to humans, the system simulates human mental dynamics and predicts optimal explanations using graphical models. We conducted psychological experiments to examine the core components of the proposed computational framework. Our results show that real-time human-robot mutual understanding in complex cooperative tasks is achievable with a learning model based on bidirectional communication. We believe that this interaction framework can shed light on bidirectional value alignment in communicative XAI systems and, more broadly, in future human-machine teaming systems.",,"Department of Computer Science, University of California, Los Angeles, Los Angeles, CA 90095, USA.; Department of Statistics, University of California, Los Angeles, Los Angeles, CA 90095, USA.; Beijing Institute for General Artificial Intelligence (BIGAI), Beijing 100080, China.; Department of Cognitive Science, University of California, San Diego, San Diego, CA 92093, USA.; Department of Psychology, University of California, Los Angeles, Los Angeles, CA 90095, USA.; Institute for Artificial Intelligence, Peking University, Beijing 100871, China.","; Gao, Xiaofeng/HME-2741-2023","Zhu, Yixin/0000-0001-7024-1545; Wu, Yingnian/0000-0001-8029-3664; Gao, Xiaofeng/0000-0003-3331-9846; Zheng, Zilong/0000-0003-1219-5151; Rossano, Federico/0000-0002-6544-7685; Yuan, Luyao/0000-0001-6624-1227; Lu, Hongjing/0000-0003-0660-1176",Artificial Intelligence. Communication. Feedback. Humans. Man-Machine Systems. *Robotics,Index Medicus,,,,,,,Computer Science; Communication; Information Science & Library Science; Engineering; Robotics (provided by Clarivate Analytics),2470-9476,101733136,United States,,,MEDLINE,,,/ 22 Jul 2022 / 16 Aug 2022,,13 Jul 2022,,10.1126/scirobotics.abm4183,,,,2025-05-29,MEDLINE:35857532
J,34834566,Journal Article,Explainable Artificial Intelligence for Human-Machine Interaction in Brain Tumor Localization.,,"Esmaeili, Morteza; Vettukattil, Riyas; Banitalebi, Hasan; Krogh, Nina R; Geitung, Jonn Terje",,Journal of personalized medicine,11,11,,2021,2021 Nov 16,English,6,37,"Primary malignancies in adult brains are globally fatal. Computer vision, especially recent developments in artificial intelligence (AI), have created opportunities to automatically characterize and diagnose tumor lesions in the brain. AI approaches have provided scores of unprecedented accuracy in different image analysis tasks, including differentiating tumor-containing brains from healthy brains. AI models, however, perform as a black box, concealing the rational interpretations that are an essential step towards translating AI imaging tools into clinical routine. An explainable AI approach aims to visualize the high-level features of trained models or integrate into the training process. This study aims to evaluate the performance of selected deep-learning algorithms on localizing tumor lesions and distinguishing the lesion from healthy regions in magnetic resonance imaging contrasts. Despite a significant correlation between classification and lesion localization accuracy (R = 0.46, p = 0.005), the known AI algorithms, examined in this study, classify some tumor brains based on other non-relevant features. The results suggest that explainable AI approaches can develop an intuition for model interpretability and may play an important role in the performance evaluation of deep learning models. Developing explainable AI approaches will be an essential tool to improve human-machine interactions and assist in the selection of optimal training methods.",,"Department of Diagnostic Imaging, Akershus University Hospital, 1478 Lorenskog, Norway.; Department of Electrical Engineering and Computer Science, Faculty of Science and Technology, University of Stavanger, 4021 Stavanger, Norway.; Faculty of Medicine, Institute of Clinical Medicine, University of Oslo, 0315 Oslo, Norway.; Division of Paediatric and Adolescent Medicine, Oslo University Hospital, 0372 Oslo, Norway.","esmaeili, morteza/B-1106-2018; Banitalebi, Hasan/AAA-7044-2022; Geitung, Jonn-Terje/Y-8749-2019","Geitung, Jonn Terje/0000-0001-9259-1060; Vettukattil, Riyas/0000-0002-2152-4933",,,black box CNN; explainable AI; gliomas; machine learning; tumor localization,,,,,,,2075-4426,101602269,Switzerland,201804 / Wellcome TrustWellcome Trust,,PubMed-not-MEDLINE,,,/ 30 Nov 2021,,16 Nov 2021,,10.3390/jpm11111213,"Green Published, gold",,,2025-05-29,MEDLINE:34834566
J,33867901,Journal Article,Explaining Deep Classification of Time-Series Data with Learned Prototypes.,,"Gee, Alan H; Garcia-Olano, Diego; Ghosh, Joydeep; Paydarfar, David",,CEUR workshop proceedings,2429,,15-22,2019,2019 Aug,English,2,2,"The emergence of deep learning networks raises a need for explainable AI so that users and domain experts can be confident applying them to high-risk decisions. In this paper, we leverage data from the latent space induced by deep learning models to learn stereotypical representations or prototypes during training to elucidate the algorithmic decision-making process. We study how leveraging prototypes effect classification decisions of two dimensional time-series data in a few different settings: (1) electrocardiogram (ECG) waveforms to detect clinical bradycardia, a slowing of heart rate, in preterm infants, (2) respiration waveforms to detect apnea of prematurity, and (3) audio waveforms to classify spoken digits. We improve upon existing models by optimizing for increased prototype diversity and robustness, visualize how these prototypes in the latent space are used by the model to distinguish classes, and show that prototypes are capable of learning features on two dimensional time-series data to produce explainable insights during classification tasks. We show that the prototypes are capable of learning real-world features - bradycardia in ECG, apnea in respiration, and articulation in speech - as well as features within sub-classes. Our novel work leverages learned prototypical framework on two dimensional time-series data to produce explainable insights during classification tasks.",,"Electrical and Computer Engineering, The University of Texas at Austin.; Neurology, Dell Medical School, The University of Texas at Austin.",,,,,,,,,,,,1613-0073,101560115,Germany,R01 GM104987 / NIGMS NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS). U01 HL133536 / NHLBI NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),,PubMed-not-MEDLINE,,,/ 13 Aug 2022,,,,,,,,2025-05-29,MEDLINE:33867901
J,37716910,Journal Article; Review,Artificial Intelligence for Quantitative Modeling in Drug Discovery and Development: An Innovation and Quality Consortium Perspective on Use Cases and Best Practices.,,"Terranova, Nadia; Renard, Didier; Shahin, Mohamed H; Menon, Sujatha; Cao, Youfang; Hop, Cornelis E C A; Hayes, Sean; Madrasi, Kumpal; Stodtmann, Sven; Tensfeldt, Thomas; Vaddady, Pavan; Ellinwood, Nicholas; Lu, James",,Clinical pharmacology and therapeutics,115,4,658-672,2024,2024 04 (Epub 2023 Oct 06),English,4,12,"© 2023 The Authors. Clinical Pharmacology & Therapeutics published by Wiley Periodicals LLC on behalf of American Society for Clinical Pharmacology and Therapeutics.Recent breakthroughs in artificial intelligence (AI) and machine learning (ML) have ushered in a new era of possibilities across various scientific domains. One area where these advancements hold significant promise is model-informed drug discovery and development (MID3). To foster a wider adoption and acceptance of these advanced algorithms, the Innovation and Quality (IQ) Consortium initiated the AI/ML working group in 2021 with the aim of promoting their acceptance among the broader scientific community as well as by regulatory agencies. By drawing insights from workshops organized by the working group and attended by key stakeholders across the biopharma industry, academia, and regulatory agencies, this white paper provides a perspective from the IQ Consortium. The range of applications covered in this white paper encompass the following thematic topics: (i) AI/ML-enabled Analytics for Pharmacometrics and Quantitative Systems Pharmacology (QSP) Workflows; (ii) Explainable Artificial Intelligence and its Applications in Disease Progression Modeling; (iii) Natural Language Processing (NLP) in Quantitative Pharmacology Modeling; and (iv) AI/ML Utilization in Drug Discovery. Additionally, the paper offers a set of best practices to ensure an effective and responsible use of AI, including considering the context of use, explainability and generalizability of models, and having human-in-the-loop. We believe that embracing the transformative power of AI in quantitative modeling while adopting a set of good practices can unlock new opportunities for innovation, increase efficiency, and ultimately bring benefits to patients.",,"Quantitative Pharmacology, Merck KGaA, Lausanne, Switzerland.; Full Development Pharmacometrics, Novartis Pharma AG, Basel, Switzerland.; Clinical Pharmacology, Pfizer Inc., Groton, Connecticut, USA.; Clinical Pharmacology and Translational Medicine, Eisai Inc., Nutley, New Jersey, USA.; DMPK, Genentech Inc., South San Francisco, California, USA.; Quantitative Pharmacology & Pharmacometrics, Merck & Co. Inc., Rahway, New Jersey, USA.; Modeling & Simulation, Sanofi, Bridgewater, New Jersey, USA.; Pharmacometrics, AbbVie Deutschland GmbH & Co. KG, Ludwigshafen, Germany.; Quantitative Clinical Pharmacology, Daiichi Sankyo, Inc., Basking Ridge, New Jersey, USA.; Global PK/PD & Pharmacometrics, Eli Lilly, Indianapolis, Indiana, USA.; Clinical Pharmacology, Genentech Inc., South San Francisco, California, USA.","Shahin, Mohamed/Q-2874-2019; Cao, Youfang/A-1771-2010","Vaddady, Pavan/0000-0002-7369-6649; Renard, Didier/0009-0004-9663-0230; Madrasi, Kumpal/0000-0002-1442-8919; Stodtmann, Sven/0000-0002-7986-4447; Lu, James/0000-0002-9687-5607; Terranova, Nadia/0000-0002-0033-3695",Algorithms. *Artificial Intelligence. *Drug Discovery. Humans. Machine Learning. Natural Language Processing,Index Medicus,,,,,,,Computer Science; Pharmacology & Pharmacy; Mathematics (provided by Clarivate Analytics),1532-6535,372741,United States,,,MEDLINE,,,/ 21 Mar 2024 / 11 Apr 2024,,06 Oct 2023,,10.1002/cpt.3053,hybrid,,,2025-05-29,MEDLINE:37716910
J,35197560,"Journal Article; Research Support, Non-U.S. Gov't",MIXTURE of human expertise and deep learning-developing an explainable model for predicting pathological diagnosis and survival in patients with interstitial lung disease.,,"Uegami, Wataru; Bychkov, Andrey; Ozasa, Mutsumi; Uehara, Kazuki; Kataoka, Kensuke; Johkoh, Takeshi; Kondoh, Yasuhiro; Sakanashi, Hidenori; Fukuoka, Junya",,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",35,8,1083-1091,2022,2022 08 (Epub 2022 Feb 23),English,1,26,"© 2022. The Author(s).Interstitial pneumonia is a heterogeneous disease with a progressive course and poor prognosis, at times even worse than those in the main cancer types. Histopathological examination is crucial for its diagnosis and estimation of prognosis. However, the evaluation strongly depends on the experience of pathologists, and the reproducibility of diagnosis is low. Herein, we propose MIXTURE (huMan-In-the-loop eXplainable artificial intelligence Through the Use of REcurrent training), an original method to develop deep learning models for extracting pathologically significant findings based on an expert pathologist's perspective with a small annotation effort. The procedure of MIXTURE consists of three steps as follows. First, we created feature extractors for tiles from whole slide images using self-supervised learning. The similar looking tiles were clustered based on the output features and then pathologists integrated the pathologically synonymous clusters. Using the integrated clusters as labeled data, deep learning models to classify the tiles into pathological findings were created by transfer-learning the feature extractors. We developed three models for different magnifications. Using these extracted findings, our model was able to predict the diagnosis of usual interstitial pneumonia, a finding suggestive of progressive disease, with high accuracy (AUC 0.90 in validation set and AUC 0.86 in test set). This high accuracy could not be achieved without the integration of findings by pathologists. The patients predicted as UIP had poorer prognosis (5-year overall survival [OS]: 55.4%) than those predicted as non-UIP (OS: 95.2%). The Cox proportional hazards model for each microscopic finding and prognosis pointed out dense fibrosis, fibroblastic foci, elastosis, and lymphocyte aggregation as independent risk factors. We suggest that MIXTURE may serve as a model approach to different diseases evaluated by medical imaging, including pathology and radiology, and be the prototype for explainable artificial intelligence that can collaborate with humans.",,"Department of Pathology, Nagasaki University Graduate School of Biomedical Sciences, Nagasaki, Japan.; Department of Pathology, Kameda Medical Center, Kamogawa, Japan.; Artificial Intelligence Research Center, National Institute of Advanced Industrial Science and Technology, Tsukuba, Ibaraki, Japan.; Department of Respiratory Medicine and Allergy, Tosei General Hospital, Seto, Japan.; Department of Radiology, Kansai Rosai Hospital, Amagasaki, Hyogo, Japan.; Department of Pathology, Nagasaki University Graduate School of Biomedical Sciences, Nagasaki, Japan. fukuokaj@nagasaki-u.ac.jp.; Department of Pathology, Kameda Medical Center, Kamogawa, Japan. fukuokaj@nagasaki-u.ac.jp.","Kondo, Yasuhiro/AAP-3658-2020; Uegami, Wataru/CAG-1189-2022; Uehara, Kazuki/M-1742-2018; Bychkov, Andrey/N-1884-2019; Fukuoka, Junya/AAT-2924-2021; Sakanashi, Hidenori/B-1613-2017","Bychkov, Andrey/0000-0002-4203-5696; Fukuoka, Junya/0000-0002-2496-3050","Artificial Intelligence. *Deep Learning. Humans. *Idiopathic Pulmonary Fibrosis / diagnosis; pathology. *Lung Diseases, Interstitial / diagnosis; pathology. Reproducibility of Results",Index Medicus,,,,,,,Computer Science; Respiratory System (provided by Clarivate Analytics),1530-0285,8806605,United States,,,MEDLINE,,,/ 27 Jul 2022 / 10 Feb 2023,,23 Feb 2022,,10.1038/s41379-022-01025-7,"hybrid, Green Submitted, Green Published",,,2025-05-29,MEDLINE:35197560
J,37841234,Journal Article; Scoping Review,Defining human-AI teaming the human-centered way: a scoping review and network analysis.,,"Berretta, Sophie; Tausch, Alina; Ontrup, Greta; Gilles, Bjorn; Peifer, Corinna; Kluge, Annette",,Frontiers in artificial intelligence,6,,1250725,2023,2023,English,21,71,"Copyright © 2023 Berretta, Tausch, Ontrup, Gilles, Peifer and Kluge.Introduction: With the advancement of technology and the increasing utilization of AI, the nature of human work is evolving, requiring individuals to collaborate not only with other humans but also with AI technologies to accomplish complex goals. This requires a shift in perspective from technology-driven questions to a human-centered research and design agenda putting people and evolving teams in the center of attention. A socio-technical approach is needed to view AI as more than just a technological tool, but as a team member, leading to the emergence of human-AI teaming (HAIT). In this new form of work, humans and AI synergistically combine their respective capabilities to accomplish shared goals.Methods: The aim of our work is to uncover current research streams on HAIT and derive a unified understanding of the construct through a bibliometric network analysis, a scoping review and synthetization of a definition from a socio-technical point of view. In addition, antecedents and outcomes examined in the literature are extracted to guide future research in this field.Results: Through network analysis, five clusters with different research focuses on HAIT were identified. These clusters revolve around (1) human and (2) task-dependent variables, (3) AI explainability, (4) AI-driven robotic systems, and (5) the effects of AI performance on human perception. Despite these diverse research focuses, the current body of literature is predominantly driven by a technology-centric and engineering perspective, with no consistent definition or terminology of HAIT emerging to date.Discussion: We propose a unifying definition combining a human-centered and team-oriented perspective as well as summarize what is still needed in future research regarding HAIT. Thus, this work contributes to support the idea of the Frontiers Research Topic of a theoretical and conceptual basis for human work with AI systems.",,"Department of Psychology, Organizational, and Business Psychology, Ruhr University Bochum, Bochum, Germany.; Department of Psychology I, University of Lubeck, Lubeck, Germany.","Ontrup, Greta/AAF-9422-2021; Peifer, Corinna/V-2944-2019; Kluge, Annette/AAX-3178-2020","Tausch, Alina/0000-0002-3190-6185; Ontrup, Greta/0000-0003-4720-1494; Kluge, Annette/0000-0002-8123-0427; Berretta, Sophie/0000-0002-2879-2164",,,artificial intelligence; bibliometric analysis; bibliometric coupling; human-AI teaming; human-centered AI; humane work; network analysis; work psychology,,,,,,,2624-8212,101770551,Switzerland,,,PubMed-not-MEDLINE,,,/ 30 Jan 2025,,29 Sep 2023,,10.3389/frai.2023.1250725,"Green Published, gold",,,2025-05-29,MEDLINE:37841234
