scopus,,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Wu Z.; Guo C.; Chen J.; Ding S.; Zheng Y.,"Wu, Zhuoqing (57226779736); Guo, Chonghui (12775741500); Chen, Jingfeng (57195714980); Ding, Suying (57217362957); Zheng, Yunchao (59897142000)",57226779736; 12775741500; 57195714980; 57217362957; 59897142000,Integrating temporal association rules into intelligent prediction system for metabolic dysfunction-associated fatty liver disease,2025,Decision Support Systems,195,,114467,,,,0,10.1016/j.dss.2025.114467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005109273&doi=10.1016%2fj.dss.2025.114467&partnerID=40&md5=b891891b13f70b4cb1db8bc0e97cc883,"Healthcare big data provides trajectory data on chronic disease onset, progression, and outcomes, essential for understanding metabolic dysfunction-associated fatty liver disease (MAFLD) patient health dynamics. However, constructing explainable predictive models for MAFLD using longitudinal healthcare big data remains challenging due to its complexity. While several high-performance machine learning models have shown promise, their “black box” nature limits interpretability and trust among clinical healthcare professionals. Most studies also rely on cross-sectional data, which lacks the depth of longitudinal data, hindering accurate health status tracking. This paper proposes an intelligent MAFLD prediction system integrating temporal association rules (TARs) through a “human-in-the-loop” approach. By analyzing TARs that capture disease dynamics, the system incorporates high-quality domain knowledge into its predictive model. To enhance explainability, we use the SHapley Additive exPlanations framework alongside clinically significant TARs. The system's effectiveness was validated on real-world data, showing improved MAFLD outcome prediction. Sensitivity analysis identified optimal TARs and robust model configurations. Finally, the online-deployed explainable prototype system demonstrates potential to boost trust and adoption among clinical healthcare professionals. Additionally, the system's effectiveness and their willingness to use it were further evaluated through the “human-on-the-loop” method. These findings suggest the system could serve as a valuable tool for clinical applications and advance information systems design. © 2025 Elsevier B.V.",Explainability; Healthcare big data; Intelligent prediction system; Metabolic dysfunction-associated fatty liver disease; Temporal association rule,Diseases; mHealth; Nutrition; Explainability; Fatty liver disease; Health care professionals; Healthcare big data; Intelligent prediction; Intelligent prediction system; Metabolic dysfunction-associated fatty liver disease; Prediction systems; Predictive models; Temporal association rule; Patient treatment,Article,Final,,Scopus,2-s2.0-105005109273
Jha D.; Durak G.; Sharma V.; Keles E.; Cicek V.; Zhang Z.; Srivastava A.; Rauniyar A.; Hagos D.H.; Tomar N.K.; Miller F.H.; Topcu A.; Yazidi A.; Håkegård J.E.; Bagci U.,"Jha, Debesh (57194764980); Durak, Gorkem (57219047943); Sharma, Vanshali (57216315107); Keles, Elif (57200083115); Cicek, Vedat (57211592619); Zhang, Zheyuan (57712650100); Srivastava, Abhishek (57224567257); Rauniyar, Ashish (56653500000); Hagos, Desta Haileselassie (55818981400); Tomar, Nikhil Kumar (57222073120); Miller, Frank H. (57265760400); Topcu, Ahmet (57207987244); Yazidi, Anis (36623068400); Håkegård, Jan Erik (6507511138); Bagci, Ulas (24176491700)",57194764980; 57219047943; 57216315107; 57200083115; 57211592619; 57712650100; 57224567257; 56653500000; 55818981400; 57222073120; 57265760400; 57207987244; 36623068400; 6507511138; 24176491700,A Conceptual Framework for Applying Ethical Principles of AI to Medical Practice,2025,Bioengineering,12,2,180,,,,0,10.3390/bioengineering12020180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219200212&doi=10.3390%2fbioengineering12020180&partnerID=40&md5=1c943f063a75d5af2ad07c65713ae8cf,"Artificial Intelligence (AI) is reshaping healthcare through advancements in clinical decision support and diagnostic capabilities. While human expertise remains foundational to medical practice, AI-powered tools are increasingly matching or exceeding specialist-level performance across multiple domains, paving the way for a new era of democratized healthcare access. These systems promise to reduce disparities in care delivery across demographic, racial, and socioeconomic boundaries by providing high-quality diagnostic support at scale. As a result, advanced healthcare services can be affordable to all populations, irrespective of demographics, race, or socioeconomic background. The democratization of such AI tools can reduce the cost of care, optimize resource allocation, and improve the quality of care. In contrast to humans, AI can potentially uncover complex relationships in the data from a large set of inputs and generate new evidence-based knowledge in medicine. However, integrating AI into healthcare raises several ethical and philosophical concerns, such as bias, transparency, autonomy, responsibility, and accountability. In this study, we examine recent advances in AI-enabled medical image analysis, current regulatory frameworks, and emerging best practices for clinical integration. We analyze both technical and ethical challenges inherent in deploying AI systems across healthcare institutions, with particular attention to data privacy, algorithmic fairness, and system transparency. Furthermore, we propose practical solutions to address key challenges, including data scarcity, racial bias in training datasets, limited model interpretability, and systematic algorithmic biases. Finally, we outline a conceptual algorithm for responsible AI implementations and identify promising future research and development directions. © 2025 by the authors.",artificial intelligence (AI); ethical AI; philosophical AI; trustworthy AI,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85219200212
Upadhyay S.; Lakkaraju H.; Gajos K.Z.,"Upadhyay, Sohini (57222360735); Lakkaraju, Himabindu (37104369800); Gajos, Krzysztof Z. (8375653300)",57222360735; 37104369800; 8375653300,Counterfactual Explanations May Not Be the Best Algorithmic Recourse Approach,2025,"International Conference on Intelligent User Interfaces, Proceedings IUI",,,,446,462,16,0,10.1145/3708359.3712095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001919802&doi=10.1145%2f3708359.3712095&partnerID=40&md5=fd295bbe61f9ffea612ceef6a7fb8f6e,"Algorithmic recourse is a rapidly developing subfield in explainable AI (XAI) concerned with providing individuals subject to adverse high-stakes algorithmic outcomes with explanations indicating how to reverse said outcomes. While XAI research in the machine learning community doesn't confine itself to counterfactual explanations, its algorithmic recourse subfield does, adopting the assumption that the optimal way to provide recourse is through counterfactual explanations. Though there has been extensive human-AI interaction research on explanations, translating these findings to the algorithmic recourse setting is non-obvious due to meaningful problem setting differences, leaving the question of whether counterfactuals are the most optimal explanation paradigm for recourse unanswered. While intuitively satisfying, the prescriptive nature of counterfactuals makes them vulnerable to poor outcomes when circumstances unknown to the decision-making and explanation generating algorithms affect re-application strategies. With these concerns in mind, we designed a series of experiments comparing different explanation methods in the recourse setting, explicitly incorporating scenarios where circumstances unknown to the decision-making and explanation algorithms affect re-application strategies. In Experiment 1, we compared counterfactuals with reason codes, a simple feature-based explanation, finding that they both yield comparable re-application success, and that reason codes led to better user outcomes when unknown circumstances had a high impact on re-application strategies. In Experiment 2, we sought to improve on reason code outcomes, comparing them to feature attributions, a more informative feature-based explanation, but found no improvements. Finally, in Experiment 3, we aimed to improve on reason code outcomes with a multiple counterfactual explanation condition, finding that multiple counterfactuals led to higher re-application success but still resulted in comparatively worse user outcomes in the face of high impact unknown circumstances. Taken together, these findings call into question whether the standard counterfactual paradigm is the best approach for the algorithmic recourse problem setting.  © 2025 Copyright held by the owner/author(s).",AI explanations; algorithmic recourse; counterfactual explanations,Adversarial machine learning; AI explanation; Algorithmic recourse; Algorithmics; Application strategies; Counterfactual explanation; Counterfactuals; Decisions makings; Feature-based; Subfields; Unknown circumstances; Contrastive Learning,Conference paper,Final,,Scopus,2-s2.0-105001919802
Wang H.W.; Birnbaum L.; Setlur V.,"Wang, Huichen Will (59299956200); Birnbaum, Larry (7103144019); Setlur, Vidya (21743848500)",59299956200; 7103144019; 21743848500,Jupybara: Operationalizing a Design Space for Actionable Data Analysis and Storytelling with LLMs,2025,Conference on Human Factors in Computing Systems - Proceedings ,,,1005,,,,1,10.1145/3706598.3713913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005747639&doi=10.1145%2f3706598.3713913&partnerID=40&md5=77202d525fd3e9c355322406bf2f9861,"Mining and conveying actionable insights from complex data is a key challenge of exploratory data analysis (EDA) and storytelling. To address this challenge, we present a design space for actionable EDA and storytelling. Synthesizing theory and expert interviews, we highlight how semantic precision, rhetorical persuasion, and pragmatic relevance underpin effective EDA and storytelling. We also show how this design space subsumes common challenges in actionable EDA and storytelling, such as identifying appropriate analytical strategies and leveraging relevant domain knowledge. Building on the potential of LLMs to generate coherent narratives with commonsense reasoning, we contribute Jupybara, an AI-enabled assistant for actionable EDA and storytelling implemented as a Jupyter Notebook extension. Jupybara employs two strategies - design-space-aware prompting and multi-agent architectures - to operationalize our design space. An expert evaluation confirms Jupybara's usability, steerability, explainability, and reparability, as well as the effectiveness of our strategies in operationalizing the design space framework with LLMs. © 2025 Copyright held by the owner/author(s).",Actionable Insights; Data Science; Data Storytelling; Exploratory Data Analysis; Human-AI Collaboration; Large Language Model; Multi-Agent System; Pragmatics; Rhetoric; Semantics,Data reduction; Data Science; Information retrieval; Information theory; Actionable insight; Data storytelling; Design spaces; Exploratory data analysis; Human-AI collaboration; Language model; Large language model; Multiagent systems (MASs); Pragmatic; Rhetoric; Data mining,Conference paper,Final,,Scopus,2-s2.0-105005747639
Kayser M.; Menzat B.; Emde C.; Bercean B.; Novak A.; Espinosa A.; Papiez B.W.; Gaube S.; Lukasiewicz T.; Camburu O.-M.,"Kayser, Maxime (57209110868); Menzat, Bayar (55809032500); Emde, Cornelius (57224572567); Bercean, Bogdan (57217588594); Novak, Alex (57201418545); Espinosa, Abdala (58887885100); Papiez, Bartlomiej W. (36460161500); Gaube, Susanne (57202200441); Lukasiewicz, Thomas (7004581222); Camburu, Oana-Maria (57063266900)",57209110868; 55809032500; 57224572567; 57217588594; 57201418545; 58887885100; 36460161500; 57202200441; 7004581222; 57063266900,Fool Me Once? Contrasting Textual and Visual Explanations in a Clinical Decision-Support Setting,2024,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",,,,18891,18919,28,0,10.18653/v1/2024.emnlp-main.1051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217771428&doi=10.18653%2fv1%2f2024.emnlp-main.1051&partnerID=40&md5=f7283bfa04746abb74681980b88b3e9c,"The growing capabilities of AI models are leading to their wider use, including in safety-critical domains.Explainable AI (XAI) aims to make these models safer to use by making their inference process more transparent.However, current explainability methods are seldom evaluated in the way they are intended to be used: by real-world end users.To address this, we conducted a large-scale user study with 85 healthcare practitioners in the context of human-AI collaborative chest X-ray analysis.We evaluated three types of explanations: visual explanations (saliency maps), natural language explanations, and a combination of both modalities.We specifically examined how different explanation types influence users depending on whether the AI advice and explanations are factually correct.We find that text-based explanations lead to significant over-reliance, which is alleviated by combining them with saliency maps.We also observe that the quality of explanations, that is, how much factually correct information they entail, and how much this aligns with AI correctness, significantly impacts the usefulness of the different explanation types. © 2024 Association for Computational Linguistics.",,Visual languages; 'current; Clinical decision support; End-users; Inference process; Large-scales; Natural language explanations; Real-world; Safety-critical domain; Saliency map; User study; Computational linguistics,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85217771428
Schmude T.; Koesten L.; Möller T.; Tschiatschek S.,"Schmude, Timothée (58114864600); Koesten, Laura (57190130539); Möller, Torsten (7103010114); Tschiatschek, Sebastian (54917447400)",58114864600; 57190130539; 7103010114; 54917447400,Information that matters: Exploring information needs of people affected by algorithmic decisions,2025,International Journal of Human Computer Studies,193,,103380,,,,0,10.1016/j.ijhcs.2024.103380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205992227&doi=10.1016%2fj.ijhcs.2024.103380&partnerID=40&md5=70bfe884417416cff76aa9b70c97a589,"Every AI system that makes decisions about people has a group of stakeholders that are personally affected by these decisions. However, explanations of AI systems rarely address the information needs of this stakeholder group, who often are AI novices. This creates a gap between conveyed information and information that matters to those who are impacted by the system's decisions, such as domain experts and decision subjects. To address this, we present the “XAI Novice Question Bank”, an extension of the XAI Question Bank (Liao et al., 2020) containing a catalog of information needs from AI novices in two use cases: employment prediction and health monitoring. The catalog covers the categories of data, system context, system usage, and system specifications. We gathered information needs through task based interviews where participants asked questions about two AI systems to decide on their adoption and received verbal explanations in response. Our analysis showed that participants’ confidence increased after receiving explanations but that their understanding faced challenges. These included difficulties in locating information and in assessing their own understanding, as well as attempts to outsource understanding. Additionally, participants’ prior perceptions of the systems’ risks and benefits influenced their information needs. Participants who perceived high risks sought explanations about the intentions behind a system's deployment, while those who perceived low risks rather asked about the system's operation. Our work aims to support the inclusion of AI novices in explainability efforts by highlighting their information needs, aims, and challenges. We summarize our findings as five key implications that can inform the design of future explanations for lay stakeholder audiences. © 2024 The Authors",Affected stakeholders; Explainable AI; Information needs; Qualitative methods; Question-driven explanations; Understanding,Affected stakeholder; AI systems; Algorithmics; Explainable AI; Information need; Qualitative method; Question banks; Question-driven explanation; Stakeholder groups; Understanding,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85205992227
Schmitt V.; Csomor B.P.; Meyer J.; Villa-Areas L.-F.; Jakob C.; Polzehl T.; Möller S.,"Schmitt, Vera (57225044629); Csomor, Balázs Patrik (59179277200); Meyer, Joachim (7406100627); Villa-Areas, Luis-Felipe (59182493500); Jakob, Charlott (58972688800); Polzehl, Tim (34969523200); Möller, Sebastian (24076818400)",57225044629; 59179277200; 7406100627; 59182493500; 58972688800; 34969523200; 24076818400,Evaluating Human-Centered AI Explanations: Introduction of an XAI Evaluation Framework for Fact-Checking,2024,ACM International Conference Proceeding Series,,,,91,100,9,4,10.1145/3643491.3660283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196375447&doi=10.1145%2f3643491.3660283&partnerID=40&md5=8891d866de5533b08b3730b8994bf302,"The rapidly increasing amount of online information and the advent of Generative Artificial Intelligence (GenAI) make the manual verification of information impractical. Consequently, AI systems are deployed to detect disinformation and deepfakes. Prior studies have indicated that combining AI and human capabilities yields enhanced performance in detecting disinformation. Furthermore, the European Union (EU) AI Act mandates human supervision for AI applications in areas impacting essential human rights, like freedom of speech, necessitating that AI systems be transparent and provide adequate explanations to ensure comprehensibility. Extensive research has been conducted on incorporating explainability (XAI) attributes to augment AI transparency, yet these often miss a human-centric assessment. The effectiveness of such explanations also varies with the user's prior knowledge and personal attributes. Therefore, we developed a framework for validating XAI features for the collaborative human-AI fact-checking task. The framework allows the testing of XAI features with objective and subjective evaluation dimensions and follows human-centric design principles when displaying information about the AI system to the users. The framework was tested in a crowdsourcing experiment with 433 participants, including 406 crowdworkers and 27 journalists for the collaborative disinformation detection task. The tested XAI features increase the AI system's perceived usefulness, understandability, and trust. With this publication, the XAI evaluation framework is made open source. © 2024 Owner/Author.",blind trust in AI systems; Human-centered eXplanations; objective and subjective evaluation of eXplanations,Crowdsourcing; AI systems; Blind trust in AI system; European union; Evaluation framework; Human capability; Human-centered explanation; Objective and subjective evaluation of explanation; Objective and subjective evaluations; Online information; Performance; Subjective testing,Conference paper,Final,,Scopus,2-s2.0-85196375447
Bae S.W.; Chung T.; Zhang T.; Dey A.K.; Islam R.,"Bae, Sang Won (57191539544); Chung, Tammy (7401571086); Zhang, Tongze (58242959500); Dey, Anind K. (7101701731); Islam, Rahul (57257182400)",57191539544; 7401571086; 58242959500; 7101701731; 57257182400,"Enhancing Interpretable, Transparent, and Unobtrusive Detection of Acute Marijuana Intoxication in Natural Environments: Harnessing Smart Devices and Explainable AI to Empower Just-In-Time Adaptive Interventions: Longitudinal Observational Study",2025,JMIR AI,4,,e52270,,,,0,10.2196/52270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216964363&doi=10.2196%2f52270&partnerID=40&md5=f98ed1787527d160ce9d10b7247ea2c3,"Background: Acute marijuana intoxication can impair motor skills and cognitive functions such as attention and information processing. However, traditional tests, like blood, urine, and saliva, fail to accurately detect acute marijuana intoxication in real time. Objective: This study aims to explore whether integrating smartphone-based sensors with readily accessible wearable activity trackers, like Fitbit, can enhance the detection of acute marijuana intoxication in naturalistic settings. No previous research has investigated the effectiveness of passive sensing technologies for enhancing algorithm accuracy or enhancing the interpretability of digital phenotyping through explainable artificial intelligence in real-life scenarios. This approach aims to provide insights into how individuals interact with digital devices during algorithmic decision-making, particularly for detecting moderate to intensive marijuana intoxication in real-world contexts. Methods: Sensor data from smartphones and Fitbits, along with self-reported marijuana use, were collected from 33 young adults over a 30-day period using the experience sampling method. Participants rated their level of intoxication on a scale from 1 to 10 within 15 minutes of consuming marijuana and during 3 daily semirandom prompts. The ratings were categorized as not intoxicated (0), low (1-3), and moderate to intense intoxication (4-10). The study analyzed the performance of models using mobile phone data only, Fitbit data only, and a combination of both (MobiFit) in detecting acute marijuana intoxication. Results: The eXtreme Gradient Boosting Machine classifier showed that the MobiFit model, which combines mobile phone and wearable device data, achieved 99% accuracy (area under the curve=0.99; F1-score=0.85) in detecting acute marijuana intoxication in natural environments. The F1-score indicated significant improvements in sensitivity and specificity for the combined MobiFit model compared to using mobile or Fitbit data alone. Explainable artificial intelligence revealed that moderate to intense self-reported marijuana intoxication was associated with specific smartphone and Fitbit metrics, including elevated minimum heart rate, reduced macromovement, and increased noise energy around participants. Conclusions: This study demonstrates the potential of using smartphone sensors and wearable devices for interpretable, transparent, and unobtrusive monitoring of acute marijuana intoxication in daily life. Advanced algorithmic decision-making provides valuable insight into behavioral, physiological, and environmental factors that could support timely interventions to reduce marijuana-related harm. Future real-world applications of these algorithms should be evaluated in collaboration with clinical experts to enhance their practicality and effectiveness. © Sang Won Bae, Tammy Chung, Tongze Zhang, Anind K Dey, Rahul Islam.",algorithmic decision-making process; artificial intelligence; cannabis; data collection; decision support; digital phenotyping; experience sampling; explainable artificial intelligence; eXtreme Gradient Boosting Machine classifier; Fitbit; intoxication; JITAI; just-in-time adaptive interventions; machine learning; marijuana; mHealth; passive sensing; smart devices; smartphone-based sensors; wearables; XAI; XGBoost,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85216964363
Zace D.; Semeraro F.; Schnaubelt S.; Montomoli J.; Ristagno G.; Fijačko N.; Gamberini L.; Bignami E.G.; Greif R.; Monsieurs K.G.; Scapigliati A.,"Zace, Drieda (57203149302); Semeraro, Federico (6604045883); Schnaubelt, Sebastian (57200533421); Montomoli, Jonathan (35337224900); Ristagno, Giuseppe (14056769000); Fijačko, Nino (56801806500); Gamberini, Lorenzo (56446635100); Bignami, Elena G. (6507436865); Greif, Robert (57218181374); Monsieurs, Koenraad G. (7004522350); Scapigliati, Andrea (22954512900)",57203149302; 6604045883; 57200533421; 35337224900; 14056769000; 56801806500; 56446635100; 6507436865; 57218181374; 7004522350; 22954512900,Artificial intelligence in resuscitation: a scoping review,2025,Resuscitation Plus,24,,100973,,,,0,10.1016/j.resplu.2025.100973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004939487&doi=10.1016%2fj.resplu.2025.100973&partnerID=40&md5=34ce60ae5e570d112d7ef54b77d1d1f2,"Background: Artificial intelligence (AI) is increasingly applied in medicine, with growing interest in its potential to improve outcomes in cardiac arrest (CA). However, the scope and characteristics of current AI applications in resuscitation remain unclear. Methods: This scoping review aims to map the existing literature on AI applications in CA and resuscitation and identify research gaps for further investigation. PRISMA-ScR framework and ILCOR guidelines were followed. A systematic literature search across PubMed, EMBASE, and Cochrane identified AI applications in resuscitation. Articles were screened and classified by AI methodology, study design, outcomes, and implementation settings. AI-assisted data extraction was manually validated for accuracy. Results: Out of 4046 records, 197 studies met inclusion criteria. Most were retrospective (90%), with only 16 prospective studies and 2 randomised controlled trials. AI was predominantly applied in prediction of CA, rhythm classification, and post-resuscitation outcome prognostication. Machine learning was the most commonly used method (50% of studies), followed by deep learning and, less frequently, natural language processing. Reported performance was generally high, with AUROC values often exceeding 0.85; however, external validation was rare and real-world implementation limited. Conclusions: While AI applications in resuscitation demonstrate encouraging performance in prediction and decision support tasks, clear evidence of improved patient outcomes or routine clinical use remains limited. Future research should focus on prospective validation, equity in data sources, explainability, and seamless integration of AI tools into clinical workflows. © 2025 The Author(s)",Artificial intelligence; Cardiac arrest; Deep learning; Large language model; Machine learning; Resuscitation; Scoping review,,Review,Final,,Scopus,2-s2.0-105004939487
Duke T.; Giudici P.,"Duke, Toju (57383828800); Giudici, Paolo (23491813000)",57383828800; 23491813000,Responsible AI in Practice: A Practical Guide to Safe and Human AI,2025,Responsible AI in Practice: A Practical Guide to Safe and Human AI,,,,1,212,211,0,10.1007/979-8-8688-1166-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003352337&doi=10.1007%2f979-8-8688-1166-1&partnerID=40&md5=6178aa612a627eecc3fd97076690606b,"This book is the first practical book on AI risk assessment and management. It will enable you to evaluate and implement safe and accurate AI models and applications. The book features risk assessment frameworks, statistical metrics and code, a risk taxonomy curated from real-world case studies, and insights into AI regulation and policy, and is an essential tool for AI governance teams, AI auditors, AI ethicists, machine learning (ML) practitioners, Responsible AI practitioners, and computer science and data science students building safe and trustworthy AI systems across businesses, organizations, and universities. The centerpiece of this book is a risk management and assessment framework titled “Safe Human-centered AI (SAFE-HAI),” which highlights AI risks across the following Responsible AI principles: accuracy, sustainability and robustness, explainability, transparency and accountability, fairness, privacy and human rights, human-centered AI, and AI governance. Using several statistical metrics such as Area Under Curve (AUC), Rank Graduation Accuracy, and Shapley values, you will learn to apply Lorenz curves to measure risk and inequality across the different principles and will be equipped with a taxonomy/scoring rubric to identify and mitigate identified risks. This book is a true practical guide and covers a real-world case study using the proposed SAFE-HAI framework. The book will help you adopt standards and voluntary codes of conduct in compliance with AI risk and safety policies and regulations, including those from the NIST (National Institute of Standards and Technology) and EU AI Act (European Commission). What You Will Learn • Know the key principles behind Responsible AI and associated risks • Become familiar with risk assessment frameworks, statistical metrics, and mitigation measures for identified risks • Be aware of the fundamentals of AI regulations and policies and how to adopt them • Understand AI governance basics and implementation guidelines Who This Book Is For AI governance teams, AI auditors, AI ethicists, machine learning (ML) practitioners, Responsible AI practitioners, and computer science and data science students building safe and trustworthy AI systems across businesses, organizations, and universities. © 2025 by Toju Duke and Paolo Giudici.",AI Governance; AI Risk Impact Assessment; AI Risk Mitigation; AI Safety; AI Safety Metrics; Artificial Intelligence; Data Ethics; Responsible AI,,Book,Final,,Scopus,2-s2.0-105003352337
