Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Bienefeld, N; Keller, E; Grote, G",,,,"Bienefeld, Nadine; Keller, Emanuela; Grote, Gudela",,,Human-AI Teaming in Critical Care: A Comparative Analysis of Data Scientists' and Clinicians' Perspectives on AI Augmentation and Automation,JOURNAL OF MEDICAL INTERNET RESEARCH,,,,Article,,,,,,,,"Background: Artificial intelligence (AI) holds immense potential for enhancing clinical and administrative health care tasks. However, slow adoption and implementation challenges highlight the need to consider how humans can effectively collaborate with AI within broader socio-technical systems in health care. Objective: In the example of intensive care units (ICUs), we compare data scientists' and clinicians' assessments of the optimal utilization of human and AI capabilities by determining suitable levels of human-AI teaming for safely and meaningfully augmenting or automating 6 core tasks. The goal is to provide actionable recommendations for policy makers and health care practitioners regarding AI design and implementation. Methods: In this multimethod study, we combine a systematic task analysis across 6 ICUs with an international Delphi survey involving 19 health data scientists from the industry and academia and 61 ICU clinicians (25 physicians and 36 nurses) to define and assess optimal levels of human-AI teaming (level 1=no performance benefits; level 2=AI augments human performance; level 3=humans augment AI performance; level 4=AI performs without human input). Stakeholder groups also considered ethical and social implications. Results: Both stakeholder groups chose level 2 and 3 human-AI teaming for 4 out of 6 core tasks in the ICU. For one task (monitoring), level 4 was the preferred design choice. For the task of patient interactions, both data scientists and clinicians agreed that AI should not be used regardless of technological feasibility due to the importance of the physician-patient and nurse-patient relationship and ethical concerns. Human-AI design choices rely on interpretability, predictability, and control over AI systems. If these conditions are not met and AI performs below human-level reliability, a reduction to level 1 or shifting accountability away from human end users is advised. If AI performs at or beyond human-level reliability and these conditions are not met, shifting to level 4 automation should be considered to ensure safe and efficient human-AI teaming. Conclusions: By considering the sociotechnical system and determining appropriate levels of human-AI teaming, our study showcases the potential for improving the safety and effectiveness of AI usage in ICUs and broader health care settings. Regulatory measures should prioritize interpretability, predictability, and control if clinicians hold full accountability. Ethical and social implications must be carefully evaluated to ensure effective collaboration between humans and AI, particularly considering the most recent advancements in generative AI.","[Bienefeld, Nadine; Grote, Gudela] Swiss Fed Inst Technol, Dept Management Technol & Econ, Zurich, Switzerland; [Keller, Emanuela] Univ Hosp, Inst Intens Care Med, Dept Neurosurg, Zurich, Switzerland; [Keller, Emanuela] Univ Zurich, Zurich, Switzerland",,"Bienefeld, N (corresponding author), Swiss Fed Inst Technol, Dept Management Technol & Econ, Zurich, Switzerland.",nbienefeld@ethz.ch,,,,,,,,1,1,,,,,,,,,,,JUL 24,2024,26,,,,,,,,e50130,10.2196/50130,http://dx.doi.org/10.2196/50130,,,,,,,,,,,,2025-05-29,WOS:001297028800001,View Full Record in Web of Science
J,"Lindgren, H",,,,"Lindgren, Helena",,,Emerging Roles and Relationships Among Humans and Interactive AI Systems,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,,Article; Early Access,,,,,,,,"Metaphors have for long time been used for describing and explaining the roles of technology in human activity. Such descriptions are embedding an increasing level of ambience, where technology is expected to sense, interpret, and adapt to an individual's needs and wishes, while at the same time, the demands for transparency and accountability is making way for new regulations and guidelines for systems based on artificial intelligence (AI). The purpose of this research is to explore social roles of humans and AI systems, and to identify open research questions and challenges when designing for transparency and sense of control. A socio-technical relationship framework was developed for assessing the social roles of AI systems, and for designing for change in roles and relationships. The framework was developed based on activity theory, metaphors for human-technology interaction, and emergent research on human-AI collaboration. By focusing on meaningful shared activity, the situations when technology is socially and personally relevant can be distinguished from the situations where technology is functionally relevant. The identified roles are partly overlapping and fluent depending on the situation, which increases the need for transparency and accountability, and consequently, AI techniques that allows explainability, negotiation and adaptation of the enacted roles. The framework is exemplified in two case studies to elicit role transformations in a work and a home environment respectively, where an individual's changing need for supporting development of capabilities and autonomy through AI-based technology are addressed. We identify a number of open research questions and propose to apply the framework to capture and design for developing capability in humans and AI systems, collaborative capabilities in human-AI teaming, and for eliciting the ethical and moral consequences of AI systems operating within a person's zone of development.","[Lindgren, Helena] Umea Univ, Dept Comp Sci, Umea, Sweden",,"Lindgren, H (corresponding author), Umea Univ, Dept Comp Sci, Umea, Sweden.",helena.lindgren@umu.se,,,,,,,,3,3,,,,,,,,,,,2024 DEC 13,2024,,,,,,,,,,10.1080/10447318.2024.2435693,http://dx.doi.org/10.1080/10447318.2024.2435693,,DEC 2024,,,,,,,,,,2025-05-29,WOS:001378463100001,View Full Record in Web of Science
J,"Jiang, HR; Shi, SH; Zhang, SH; Zheng, J; Li, Q",,,,"Jiang, Haoran; Shi, Shaohan; Zhang, Shuhao; Zheng, Jie; Li, Quan",,,SLInterpreter: An Exploratory and Iterative Human-AI Collaborative System for GNN-based Synthetic Lethal Prediction,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,,,,Article,,,,,,,,"Synthetic Lethal (SL) relationships, though rare among the vast array of gene combinations, hold substantial promise for targeted cancer therapy. Despite advancements in AI model accuracy, there is still a significant need among domain experts for interpretive paths and mechanism explorations that align better with domain-specific knowledge, particularly due to the high costs of experimentation. To address this gap, we propose an iterative Human-AI collaborative framework with two key components: 1) Human-Engaged Knowledge Graph Refinement based on Metapath Strategies, which leverages insights from interpretive paths and domain expertise to refine the knowledge graph through metapath strategies with appropriate granularity. 2) Cross-Granularity SL Interpretation Enhancement and Mechanism Analysis, which aids experts in organizing and comparing predictions and interpretive paths across different granularities, uncovering new SL relationships, enhancing result interpretation, and elucidating potential mechanisms inferred by Graph Neural Network (GNN) models. These components cyclically optimize model predictions and mechanism explorations, enhancing expert involvement and intervention to build trust. Facilitated by SLInterpreter, this framework ensures that newly generated interpretive paths increasingly align with domain knowledge and adhere more closely to real-world biological principles through iterative Human-AI collaboration. We evaluate the framework's efficacy through a case study and expert interviews.","[Jiang, Haoran; Shi, Shaohan; Zhang, Shuhao; Zheng, Jie; Li, Quan] ShanghaiTech Univ, Sch Informat Sci & Technol, Shanghai, Peoples R China; [Jiang, Haoran; Shi, Shaohan; Zhang, Shuhao; Zheng, Jie; Li, Quan] Shanghai Engn Res Ctr Intelligent Vis & Imaging, Shanghai, Peoples R China",,"Jiang, HR (corresponding author), ShanghaiTech Univ, Sch Informat Sci & Technol, Shanghai, Peoples R China.;Jiang, HR (corresponding author), Shanghai Engn Res Ctr Intelligent Vis & Imaging, Shanghai, Peoples R China.",jianghr2023@shanghaitech.edu.cn; shishh2023@shanghaitech.edu.cn; zhangshh@shanghaitech.edu.cn; zhengjie@shanghaitech.edu.cn; liquan@shanghaitech.edu.cn,,,,,,,,0,0,,,,,,,,,,,JAN,2025,31,1,,,,,919,929,,10.1109/TVCG.2024.3456325,http://dx.doi.org/10.1109/TVCG.2024.3456325,,,,,,,,,,,,2025-05-29,WOS:001449829900075,View Full Record in Web of Science
J,"Zhang, R; Flathmann, C; Musick, G; Schelble, B; McNeese, NJ; Knijnenburg, B; Duan, W",,,,"Zhang, Rui; Flathmann, Christopher; Musick, Geoff; Schelble, Beau; McNeese, Nathan J.; Knijnenburg, Bart; Duan, Wen",,,"I Know This Looks Bad, But I Can Explain: Understanding When AI Should Explain Actions In Human-AI Teams",ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,,,,Article,,,,,,,,"Explanation of artificial intelligence (AI) decision-making has become an important research area in humancomputer interaction (HCI) and computer-supported teamwork research. While plenty of research has investigated AI explanations with an intent to improve AI transparency and human trust in AI, how AI explanations function in teaming environments remains unclear. Given that a major benefit of AI giving explanations is to increase human trust understanding howAI explanations impact human trust is crucial to effective human-AI teamwork. An online experiment was conducted with 156 participants to explore this question by examining how a teammate's explanations impact the perceived trust of the teammate and the effectiveness of the team and how these impacts vary based on whether the teammate is a human or an AI. This study shows that explanations facilitate trust in AI teammates when explaining why AI disobeyed humans' orders but hindered trust when explaining why an AI lied to humans. In addition, participants' personal characteristics (e.g., their gender and the individual's ethical framework) impacted their perceptions of AI teammates both directly and indirectly in different scenarios. Our study contributes to interactive intelligent systems and HCI by shedding light on how an AI teammate's actions and corresponding explanations are perceived by humans while identifying factors that impact trust and perceived effectiveness. This work provides an initial understanding of AI explanations in human-AI teams, which can be used for future research to build upon in exploring AI explanation implementation in collaborative environments.","[Zhang, Rui; Flathmann, Christopher; Musick, Geoff; Schelble, Beau; McNeese, Nathan J.; Knijnenburg, Bart; Duan, Wen] Clemson Univ, Clemson, SC 29634 USA",,"Zhang, R (corresponding author), Clemson Univ, Clemson, SC 29634 USA.",rzhang2@clemson.edu; clathm@clemson.edu; gmusick@clemson.edu; bschelb@clemson.edu; mcneese@clemson.edu; bartk@clemson.edu; wend@clemson.edu,,,,,,,,5,5,,,,,,,,,,,JAN,2024,14,1,,,,,,,6,10.1145/3635474,http://dx.doi.org/10.1145/3635474,,,,,,,,,,,,2025-05-29,WOS:001193993900006,View Full Record in Web of Science
J,"Herrera, F",,,,"Herrera, Francisco",,,Reflections and attentiveness on eXplainable Artificial Intelligence (XAI). The journey ahead from criticisms to human-AI collaboration,INFORMATION FUSION,,,,Article,,,,,,,,"The emergence of deep learning over the past decade has driven the development of increasingly complex AI models, amplifying the need for Explainable Artificial Intelligence (XAI). As AI systems grow in size and complexity, ensuring interpretability and transparency becomes essential, especially in high-stakes applications. With the rapid expansion of XAI research, addressing emerging debates and criticisms requires a comprehensive examination. This paper explores the complexities of XAI from multiple perspectives, proposing six key axes that shed light on its role in human-AI interaction and collaboration. First, it examines the imperative of XAI under the dominance of black-box AI models. Given the lack of definitional cohesion, the paper argues that XAI must be framed through the lens of audience and understanding, highlighting its different uses in AI-human interaction. The recent BLUE vs. RED XAI distinction is analyzed through this perspective. The study then addresses the criticisms of XAI, evaluating its maturity, current trajectory, and limitations in handling complex problems. The discussion then shifts to explanations as a bridge between AI models and human understanding, emphasizing the importance of usability of explanations in human-AI decision making. Key aspects such as AI reliance, human intuition, and emerging collaboration theories - including the human-algorithm centaur and co-intelligence paradigms - are explored in connection with XAI. The medical field is considered as a case study, given its extensive research on collaboration between doctors and AI through explainability. The paper proposes a framework to evaluate the maturity of XAI using three dimensions: practicality, auditability, and AI governance. Provide the final lessons learned focused on trends and questions to tackle in the near future. This is an in-depth exploration of the impact and urgency of XAI in the era of pervasive expansion of AI. Three Key reflections from this study include: (a) XAI must enhance cognitive engagement with explanations, (b) it must evolve to fully address why, what, and for what purpose explanations are needed, and (c) it plays a crucial role in building societal trust in AI. By advancing XAI in these directions, we can ensure that AI remains transparent, auditable, and accountable, and aligned with human needs.","[Herrera, Francisco] Univ Granada, Andalusian Inst Data Sci & Computat Intelligence D, Dept Comp Sci & Artificial Intelligence, Granada, Spain; [Herrera, Francisco] ADIA Lab, Abu Dhabi, U Arab Emirates",,"Herrera, F (corresponding author), Univ Granada, Andalusian Inst Data Sci & Computat Intelligence D, Dept Comp Sci & Artificial Intelligence, Granada, Spain.;Herrera, F (corresponding author), ADIA Lab, Abu Dhabi, U Arab Emirates.",herrera@decsai.ugr.es,,,,,,,,1,1,,,,,,,,,,,SEP,2025,121,,,,,,,,103133,10.1016/j.inffus.2025.103133,http://dx.doi.org/10.1016/j.inffus.2025.103133,,MAR 2025,,,,,,,,,,2025-05-29,WOS:001460341800001,View Full Record in Web of Science
J,"Wang, ZH; Wang, JC; Tian, CY; Ali, A; Yin, XC",,,,"Wang, Ziheng; Wang, Jiachen; Tian, Chengyu; Ali, Ahsan; Yin, Xicheng",,,Adopting AI teammates in knowledge-intensive crowdsourcing contests: the roles of transparency and explainability,KYBERNETES,,,,Article; Early Access,,,,,,,,"PurposeAs the role of AI on human teams shifts from a tool to a teammate, the implementation of AI teammates into knowledge-intensive crowdsourcing (KI-C) contest teams represents a forward-thinking and feasible solution to improve team performance. Since contest teams are characterized by virtuality, temporality, competitiveness, and skill diversity, the human-AI interaction mechanism underlying conventional teams is no longer applicable. This study empirically analyzes the effects of AI teammate attributes on human team members' willingness to adopt AI in crowdsourcing contests.Design/methodology/approachA questionnaire-based online experiment was designed to perform behavioral data collection. We obtained 206 valid anonymized samples from 28 provinces in China. The Ordinary Least Squares (OLS) model was used to test the proposed hypotheses.FindingsWe find that the transparency and explainability of AI teammates have mediating effects on human team members' willingness to adopt AI through trust. Due to the different tendencies exhibited by members with regard to three types of cognitive load, nonlinear U-shaped relationships are observed among explainability, cognitive load, and willingness to adopt AI.Originality/valueWe provide design ideas for human-AI team mechanisms in KI-C scenarios, and rationally explain how the U-shaped relationship between AI explainability and cognitive load emerges.","[Wang, Ziheng; Wang, Jiachen; Tian, Chengyu; Yin, Xicheng] Nanjing Univ Sci & Technol, Sch Cyber Sci & Engn, Wuxi, Peoples R China; [Ali, Ahsan] Zhejiang Sci Tech Univ, Sch Econ & Management, Hangzhou, Peoples R China",,"Yin, XC (corresponding author), Nanjing Univ Sci & Technol, Sch Cyber Sci & Engn, Wuxi, Peoples R China.",xichengyin@njust.edu.cn,,,,,,,,1,1,,,,,,,,,,,2024 JUN 3,2024,,,,,,,,,,10.1108/K-02-2024-0478,http://dx.doi.org/10.1108/K-02-2024-0478,,JUN 2024,,,,,,,,,,2025-05-29,WOS:001234502900001,View Full Record in Web of Science
J,"Tsiakas, K; Murray-Rust, D",,,,"Tsiakas, Konstantinos; Murray-Rust, Dave",,,Unpacking Human-AI interactions: From Interaction Primitives to a Design Space,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,,,,Article,,,,,,,,"This article aims to develop a semi-formal representation for Human-AI (HAI) interactions, by building a set of interaction primitives which can specify the information exchanges between users and AI systems during their interaction. We show how these primitives can be combined into a set of interaction patterns which can capture common interactions between humans and AI/ML models. The motivation behind this is twofold: firstly, to provide a compact generalization of existing practices for the design and implementation of HAI interactions; and secondly, to support the creation of new interactions by extending the design space of HAI interactions. Taking into consideration frameworks, guidelines, and taxonomies related to human-centered design and implementation of AI systems, we define a vocabulary for describing information exchanges based on the model's characteristics and interactional capabilities. Based on this vocabulary, a message passing model for interactions between humans and models is presented, which we demonstrate can account for existing HAI interaction systems and approaches. Finally, we build this into design patterns which can describe common interactions between users and models, and we discuss how this approach can be used toward a design space for HAI interactions that creates new possibilities for designs as well as keeping track of implementation issues and concerns.","[Tsiakas, Konstantinos; Murray-Rust, Dave] Delft Univ Technol, Delft, Netherlands",,"Murray-Rust, D (corresponding author), Delft Univ Technol, Delft, Netherlands.",tsiakas.konstantinos@gmail.com; D.S.Murray-Rust@tudelft.nl,,,,,,,,1,1,,,,,,,,,,,SEP,2024,14,3,,,,,,,3664522,10.1145/3664522,http://dx.doi.org/10.1145/3664522,,,,,,,,,,,,2025-05-29,WOS:001325864200003,View Full Record in Web of Science
J,"Prasad, KDV; Singh, S; Hiran, D; Agarwal, P; Kothari, H",,,,"Prasad, K. D., V; Singh, Shivoham; Hiran, Divya; Agarwal, Preeti; Kothari, Hemant",,,Analyzing Factors Influencing Technology Adoption in Healthcare: A Structural Equation Modeling Perspective,PACIFIC BUSINESS REVIEW INTERNATIONAL,,,,Article,,,,,,,,"Trust is a cornerstone of effective human-AI collaboration, particularly in an era of rapid digitalization where AI systems are increasingly integrated into decision-making processes across various sectors. This study investigates the critical factors influencing trust namely Transparency, Interpretability, and Satisfaction, and their sector-specific dynamics in healthcare, finance, and customer service. Utilizing a crosssectional survey of 500 participants and stratified sampling, the research highlights pivotal role of transparency and interpretability in fostering trust, particularly in high-stakes sectors such as healthcare and finance. Transparency (fl = 0.512, p < 0.001) and interpretability ((3 = 0.602, p < 0.001) significantly enhance trust, with stronger effects observed in healthcare ( El 2 = 0.494) and finance (02 = 0.511) compared to customer service ( E 2= 0.374). Satisfaction had been emerged as a crucial mediating variable that amplifies the relationship between transparency and trust. The indirect effect of transparency on trust through satisfaction ((3 = 0.223, p < 0.001) underscores the importance of user-centric design in building trust. Furthermore, satisfaction demonstrates a stronger influence on trust in customer service ( E =0.653), emphasizing its importance in customer-facing applications. This study provides theoretical contributions by extending trust frameworks to sector- specific contexts and offers actionable insights for AI system developers and policymakers. The findings advocate for tailored trust-building strategies, prioritizing transparency and interpretability in healthcare and finance, while emphasizing user satisfaction in customer service. The research will advances the understanding of trust dynamics in human-AI collaboration, addressing the ethical, operational, and design challenges ofAl systems in a digitalized world.","[Prasad, K. D., V; Singh, Shivoham] Symbiosis Inst Business Management, Hyderabad, India; [Prasad, K. D., V; Singh, Shivoham] Symbiosis Int Univ, Pune, India; [Hiran, Divya] Govt Meera Girls Coll, Udaipur, India; [Agarwal, Preeti; Kothari, Hemant] Pacific Acad Higher Educ & Res Univ, Udaipur, India",,"Prasad, KDV (corresponding author), Symbiosis Inst Business Management, Hyderabad, India.;Prasad, KDV (corresponding author), Symbiosis Int Univ, Pune, India.",kdv.prasad@sibmhyd.edu.in; shivohamsingh@gmail.com; divyahiran123@gmail.com; preetiagarwal76@hotmail.com; kots.hemant@gmail.com,,,,,,,,0,0,,,,,,,,,,,JAN,2025,17,7,,,,,83,98,,,,,,,,,,,,,,,2025-05-29,WOS:001439248200008,View Full Record in Web of Science
J,"Pagliari, M; Chambon, V; Berberian, B",,,,"Pagliari, Marine; Chambon, Valerian; Berberian, Bruno",,,What is new with Artificial Intelligence? Human-agent interactions through the lens of social agency,FRONTIERS IN PSYCHOLOGY,,,,Review,,,,,,,,"In this article, we suggest that the study of social interactions and the development of a sense of agency in joint action can help determine the content of relevant explanations to be implemented in artificial systems to make them explainable. The introduction of automated systems, and more broadly of Artificial Intelligence (AI), into many domains has profoundly changed the nature of human activity, as well as the subjective experience that agents have of their own actions and their consequences - an experience that is commonly referred to as sense of agency. We propose to examine the empirical evidence supporting this impact of automation on individuals' sense of agency, and hence on measures as diverse as operator performance, system explicability and acceptability. Because of some of its key characteristics, AI occupies a special status in the artificial systems landscape. We suggest that this status prompts us to reconsider human-AI interactions in the light of human-human relations. We approach the study of joint actions in human social interactions to deduce what key features are necessary for the development of a reliable sense of agency in a social context and suggest that such framework can help define what constitutes a good explanation. Finally, we propose possible directions to improve human-AI interactions and, in particular, to restore the sense of agency of human operators, improve their confidence in the decisions made by artificial agents, and increase the acceptability of such agents.","[Pagliari, Marine; Chambon, Valerian] Paris Sci & Lettres Univ, Ecole Normale Super, CNRS, Inst Jean Nicod,Dept Etud Cognit, Paris, France; [Pagliari, Marine; Berberian, Bruno] Off Natl Etud & Rech Aerosp, Informat Proc & Syst, Salon De Provence, France",,"Pagliari, M; Chambon, V (corresponding author), Paris Sci & Lettres Univ, Ecole Normale Super, CNRS, Inst Jean Nicod,Dept Etud Cognit, Paris, France.;Pagliari, M; Berberian, B (corresponding author), Off Natl Etud & Rech Aerosp, Informat Proc & Syst, Salon De Provence, France.",marine.pagliari@gmail.com; valerian.chambon@gmail.com; bruno.berberian@onera.fr,,,,,,,,12,12,,,,,,,,,,,SEP 29,2022,13,,,,,,,,954444,10.3389/fpsyg.2022.954444,http://dx.doi.org/10.3389/fpsyg.2022.954444,,,,,,,,,,,,2025-05-29,WOS:000868508100001,View Full Record in Web of Science
J,"Senoner, J; Schallmoser, S; Kratzwald, B; Feuerriegel, S; Netland, T",,,,"Senoner, Julian; Schallmoser, Simon; Kratzwald, Bernhard; Feuerriegel, Stefan; Netland, Torbjorn",,,Explainable AI improves task performance in human-AI collaboration,SCIENTIFIC REPORTS,,,,Article,,,,,,,,"Artificial intelligence (AI) provides considerable opportunities to assist human work. However, one crucial challenge of human-AI collaboration is that many AI algorithms operate in a black-box manner where the way how the AI makes predictions remains opaque. This makes it difficult for humans to validate a prediction made by AI against their own domain knowledge. For this reason, we hypothesize that augmenting humans with explainable AI improves task performance in human-AI collaboration. To test this hypothesis, we implement explainable AI in the form of visual heatmaps in inspection tasks conducted by domain experts. Visual heatmaps have the advantage that they are easy to understand and help to localize relevant parts of an image. We then compare participants that were either supported by (a) black-box AI or (b) explainable AI, where the latter supports them to follow AI predictions when the AI is accurate or overrule the AI when the AI predictions are wrong. We conducted two preregistered experiments with representative, real-world visual inspection tasks from manufacturing and medicine. The first experiment was conducted with factory workers from an electronics factory, who performed \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$N=9,600$$\end{document} assessments of whether electronic products have defects. The second experiment was conducted with radiologists, who performed \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$N=5,650$$\end{document} assessments of chest X-ray images to identify lung lesions. The results of our experiments with domain experts performing real-world tasks show that task performance improves when participants are supported by explainable AI with heatmaps instead of black-box AI. We find that explainable AI as a decision aid improved the task performance by 7.7 percentage points (95% confidence interval [CI]: 3.3% to 12.0%, \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$P=0.001$$\end{document}) in the manufacturing experiment and by 4.7 percentage points (95% CI: 1.1% to 8.3%, \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$P=0.010$$\end{document}) in the medical experiment compared to black-box AI. These gains represent a significant improvement in task performance.","[Senoner, Julian; Kratzwald, Bernhard; Netland, Torbjorn] Swiss Fed Inst Technol, Zurich, Switzerland; [Schallmoser, Simon; Feuerriegel, Stefan] Ludwig Maximilians Univ Munchen, Munich, Germany; [Schallmoser, Simon; Feuerriegel, Stefan] Munich Ctr Machine Learning MCML, Munich, Germany; [Senoner, Julian; Kratzwald, Bernhard] EthonAI, Zurich, Switzerland",,"Netland, T (corresponding author), Swiss Fed Inst Technol, Zurich, Switzerland.",tnetland@ethz.ch,,,,,,,,1,1,,,,,,,,,,,DEC 28,2024,14,1,,,,,,,31150,10.1038/s41598-024-82501-9,http://dx.doi.org/10.1038/s41598-024-82501-9,,,,,,,,,,,,2025-05-29,WOS:001386530100002,View Full Record in Web of Science
